Issn,journal_name,Journal Title Normalized,URL
1554-0642,Foundations and Trends in Accounting,foundations and trends in accounting,https://www.nowpublishers.com/ACC
0302-9743,Challenges and Opportunities in the Digital Era,challenges and opportunities in the digital era,https://link.springer.com/book/10.1007/978-3-030-02131-3
0031-5990,Perspectives In Psychiatric Care,perspectives in psychiatric care,https://onlinelibrary.wiley.com/journal/17446163
1932-2909,Journal of Web Librarianship,journal of web librarianship,https://www.tandfonline.com/loi/wjwl20
0968-7912,Down Syndrome Research and Practice,down syndrome research and practice,https://library.down-syndrome.org/en-us/research-practice
1876-3367,Middle East Law and Governance,middle east law and governance,https://brill.com/melg
1757-7004,Wiley Interdisciplinary Reviews: RNA,wiley interdisciplinary reviews: rna,https://wires.onlinelibrary.wiley.com/journal/17577012
2165-347X,Journal of Graphics Tools,journal of graphics tools,https://www.tandfonline.com/loi/ujgt19
0958-5192,International Journal of Human Resource Management,international journal of human resource management,https://www.tandfonline.com/toc/rijh20/current
0013-3264,Economic Annals,economic annals,https://www.scimagojr.com/journalsearch.php?q=6700153280&tip=sid
0302-9743,Software Engineering for Resilient Systems,software engineering for resilient systems,https://insights.sei.cmu.edu/blog/system-resilience-what-exactly-is-it/
0038-9056,STARCH - ST�RKE,starch - st�rke,https://onlinelibrary.wiley.com/journal/1521379x
0065-2598,Explorations in Aging,explorations in aging,https://link.springer.com/book/10.1007/978-1-4615-9032-3
1539-8285,Journal of Consumer Health on the Internet,journal of consumer health on the internet,https://www.tandfonline.com/toc/wchi20/current
0066-5452,Synchronization in Infinite-Dimensional Deterministic and Stochastic Systems,synchronization in infinite-dimensional deterministic and stochastic systems,https://link.springer.com/book/10.1007/978-3-030-47091-3
0097-6156,Polymer Precursor-Derived Carbon,polymer precursor-derived carbon,https://pubs.acs.org/doi/10.1021/bk-2014-1173
0953-5233,"Gender <html_ent glyph=""@amp;"" ascii=""&amp;""/> History","gender <html_ent glyph=""@amp;"" ascii=""&amp;""/> history",https://rl.talis.com/3/exeter/items/9B88B2A8-3781-03E6-0B15-2ABB49665B46.html
0097-6156,Metal-Ion Separation and Preconcentration,metal-ion separation and preconcentration,https://www.tandfonline.com/doi/abs/10.1080/15422119.2011.585682
0380-6995,Studies in Canadian Literature,studies in canadian literature,https://journals.lib.unb.ca/index.php/SCL
1865-0929,"Knowledge Discovery, Knowlege Engineering and Knowledge Management","knowledge discovery, knowlege engineering and knowledge management",https://link.springer.com/book/10.1007/978-3-642-19032-2
1726-913X,International Journal of Endocrinology & Metabolism,international journal of endocrinology & metabolism,https://www.hindawi.com/journals/ije/
1093-4510,History of Psychology,history of psychology,https://nobaproject.com/modules/history-of-psychology
0075-8434,Tensor Valuations and Their Applications in Stochastic Geometry and Imaging,tensor valuations and their applications in stochastic geometry and imaging,https://link.springer.com/book/10.1007/978-3-319-51951-7
0097-6156,Polymers for Fibers and Elastomers,polymers for fibers and elastomers,https://eguruchela.com/chemistry/learning/Elastomers_and_synthetic_fibres.php
0097-6156,Lipids in Food Flavors,lipids in food flavors,https://pubs.acs.org/doi/pdf/10.1021/bk-1994-0558.ch001
0097-6156,Industrial Gas Separations,industrial gas separations,https://pubs.acs.org/doi/pdf/10.1021/bk-1983-0223.pr001
0075-8434,Fourier Integral Operators and Partial Differential Equations,fourier integral operators and partial differential equations,https://link.springer.com/book/10.1007/BFb0074188
0097-6156,Beyond Metallocenes,beyond metallocenes,https://global.oup.com/academic/product/beyond-metallocenes-9780841238381
0097-6156,The Flipped Classroom Volume 1: Background and Challenges,the flipped classroom volume 1: background and challenges,https://pubs.acs.org/doi/10.1021/bk-2016-1223
0097-6156,Phenolic Compounds in Foods and Natural Health Products,phenolic compounds in foods and natural health products,https://pubs.acs.org/doi/pdf/10.1021/bk-2005-0909.ch001
0097-6156,"Separation, Recovery, and Purification in Biotechnology","separation, recovery, and purification in biotechnology",https://books.google.com/books/about/Separation_Recovery_and_Purification_in.html?id=XLVTAAAAMAAJ
0179-5953,Reviews of Environmental Contamination and Toxicology Volume 253,reviews of environmental contamination and toxicology volume 253,https://link.springer.com/book/10.1007/978-3-030-52541-5
0075-8434,The semi-simple zeta function of quaternionic Shimura varieties,the semi-simple zeta function of quaternionic shimura varieties,https://link.springer.com/book/10.1007/BFb0093995
0097-6156,Polyethers,polyethers,https://www.britannica.com/science/polyether
0075-8434,"Multiscale and Adaptivity: Modeling, Numerics and Applications","multiscale and adaptivity: modeling, numerics and applications",https://www.springer.com/gp/book/9783642240782
0303-4216,Silicon Photonics,silicon photonics,https://www.intel.com/content/www/us/en/architecture-and-technology/silicon-photonics/silicon-photonics-overview.html
0097-6156,Fluorine-Related Nanoscience with Energy Applications,fluorine-related nanoscience with energy applications,https://pubs.acs.org/isbn/9780841226104
1860-949X,New Directions in Web Data Management 1,new directions in web data management 1,https://link.springer.com/book/10.1007/978-3-642-17551-0
0081-3869,Electroweak Physics at the LHC,electroweak physics at the lhc,https://arxiv.org/abs/0809.1565
0097-6156,Synthesis and Chemistry of Agrochemicals IV,synthesis and chemistry of agrochemicals iv,https://global.oup.com/academic/product/synthesis-and-chemistry-of-agrochemicals-iv-9780841230910
0065-2598,Pericyte Biology in Different Organs,pericyte biology in different organs,https://link.springer.com/book/10.1007/978-3-030-11093-2
0171-2004,Chemical Carcinogenesis and Mutagenesis I,chemical carcinogenesis and mutagenesis i,https://link.springer.com/book/10.1007/978-3-642-74775-5
0080-1844,Plant Promoters and Transcription Factors,plant promoters and transcription factors,https://pubmed.ncbi.nlm.nih.gov/26524248/
0169-3298,Surveys In Geophysics,surveys in geophysics,https://www.springer.com/journal/10712
1341-0571,The Journal of Japan Institute for Interconnecting and Packaging Electronic Circuits,the journal of japan institute for interconnecting and packaging electronic circuits,https://www.jstage.jst.go.jp/browse/jiep1995
0002-9262,American Journal Of Epidemiology,american journal of epidemiology,https://academic.oup.com/aje
0303-8408,Sozial- und Pr\:aventivmedizin SPM,sozial- und pr\:aventivmedizin spm,https://www.researchgate.net/journal/Sozial-und-Praeaventivmedizin-SPM-1420-911X
0302-9743,Transactions on High-Performance Embedded Architectures and Compilers IV,transactions on high-performance embedded architectures and compilers iv,https://www.springer.com/series/7779
1572-3097,European Finance Review,european finance review,https://academic.oup.com/rof/article-abstract/6/1/127/1604301
0075-8442,Deterministic Lotsizing Models for Production Planning,deterministic lotsizing models for production planning,https://link.springer.com/book/10.1007/978-3-642-51649-8
0097-6156,Fungicide Chemistry,fungicide chemistry,http://npic.orst.edu/ingred/ptype/fungicide.html
1756-3461,International Journal of Cuban Studies,international journal of cuban studies,https://www.jstor.org/journal/intejcubastud
0146-521X,"Regional Anesthesia: The Journal of Neural Blockade in Obstetrics, Surgery, & Pain Control","regional anesthesia: the journal of neural blockade in obstetrics, surgery, & pain control",https://www.worldcat.org/title/regional-anesthesia-the-journal-of-neural-blockade-in-obstetrics-surgery-and-pain-control/oclc/803221737
0065-2598,Clinical Research Involving Pulmonary Disorders,clinical research involving pulmonary disorders,https://link.springer.com/book/10.1007/978-3-319-74092-8
0075-8434,Differential Geometry of Submanifolds,differential geometry of submanifolds,https://link.springer.com/book/10.1007/BFb0101561
0081-3869,Interstellar Molecules,interstellar molecules,http://www.astrochymist.org/astrochymist_ism.html
0077-0892,Analysis of Human Mandibular Movement,analysis of human mandibular movement,https://pubmed.ncbi.nlm.nih.gov/1058999/
1049-331X,ACM Transactions on Software Engineering and Methodology (TOSEM),acm transactions on software engineering and methodology (tosem),https://dl.acm.org/journal/tosem
1738-0502,The Journal of Study on Language and Culture of Korea and China,the journal of study on language and culture of korea and china,https://www.worldcat.org/title/journal-of-study-on-language-and-culture-of-korea-and-china/oclc/723798632
0081-3869,Electroweak Symmetry Breaking,electroweak symmetry breaking,https://www.annualreviews.org/doi/10.1146/annurev-nucl-102313-025537
0066-5215,Anuario Filosófico,anuario filosófico,https://revistas.unav.edu/index.php/anuario-filosofico
0075-8434,"Torsion Theories, Additive Semantics, and Rings of Quotients","torsion theories, additive semantics, and rings of quotients",https://link.springer.com/book/10.1007/BFb0061029
1878-9714,Evidentiality in Interaction,evidentiality in interaction,https://benjamins.com/catalog/bct.63
0301-5556,The Testicular Descent in Human,the testicular descent in human,https://pubmed.ncbi.nlm.nih.gov/11008363/
0037-6795,The Slavonic and East European Review,the slavonic and east european review,https://www.jstor.org/journal/slaveasteurorev2
0031-9007,Physical Review Letters,physical review letters,https://prl.aps.org/
1751-0252,International Journal of Business Innovation and Research,international journal of business innovation and research,https://www.inderscience.com/jhome.php?jcode=ijbir
0008-4042,Canadian Journal of Chemistry,canadian journal of chemistry,https://cdnsciencepub.com/journal/cjc
0027-0644,Monthly Weather Review,monthly weather review,https://journals.ametsoc.org/view/journals/mwre/mwre-overview.xml
0706-652X,Canadian Journal of Fisheries and Aquatic Sciences,canadian journal of fisheries and aquatic sciences,https://cdnsciencepub.com/journal/cjfas
1053-0819,Journal of Behavioral Education,journal of behavioral education,https://www.springer.com/journal/10864
0965-5425,Computational Mathematics and Mathematical Physics,computational mathematics and mathematical physics,https://www.springer.com/journal/11470
0015-7899,Forschung im Ingenieurwesen,forschung im ingenieurwesen,https://www.springer.com/journal/10010
1582-1838,Journal of Cellular and Molecular Medicine,journal of cellular and molecular medicine,https://onlinelibrary.wiley.com/journal/15824934
0951-8398,International Journal of Qualitative Studies in Education,international journal of qualitative studies in education,https://www.tandfonline.com/toc/tqse20/current
0028-0836,Nature,nature,https://www.nature.com/
0964-4016,Environmental Politics,environmental politics,https://www.tandfonline.com/toc/fenp20/current
1387-2877,Journal of Alzheimer's Disease,journal of alzheimer's disease,https://www.j-alz.com/
1747-9800,Independent Nurse,independent nurse,https://nursing.jnj.com/specialty/independent-nurse-contractor
0954-0121,AIDS Care,aids care,https://www.tandfonline.com/toc/caic20/current
1758-8715,International Journal of Intelligent Engineering Informatics,international journal of intelligent engineering informatics,https://www.inderscience.com/jhome.php?jcode=ijiei
1475-3898,Quality in Health Care,quality in health care,https://www.ahrq.gov/patient-safety/quality-resources/tools/chtoolbx/understand/index.html
0741-1235,Sociology of Sport Journal,sociology of sport journal,https://journals.humankinetics.com/view/journals/ssj/ssj-overview.xml
0003-3197,Angiology,angiology,https://journals.sagepub.com/home/ang
1435-3067,Viszeralchirurgie,viszeralchirurgie,https://www.meduniwien.ac.at/hp/chirurgie/abteilungen/viszeralchirurgie/
2050-7526,J. Mater. Chem. C,j. mater. chem. c,https://pubs.rsc.org/en/journals/journal/tc
0261-1430,Popular Music,popular music,https://www.britannica.com/art/popular-music
0268-3679,Teaching Mathematics and its Applications,teaching mathematics and its applications,https://academic.oup.com/teamat
1050-8422,Ethics & Behavior,ethics & behavior,https://www.scu.edu/ethics/ethics-resources/ethical-decision-making/what-is-ethics/
1060-4367,Digest of Middle East Studies,digest of middle east studies,https://onlinelibrary.wiley.com/journal/19493606
0302-9743,Computers Helping People with Special Needs,computers helping people with special needs,https://link.springer.com/book/10.1007/978-3-642-31534-3
0287-6256,Studies in Regional Science,studies in regional science,https://www.jstage.jst.go.jp/browse/srs
2162-1918,Advances in Wound Care,advances in wound care,https://home.liebertpub.com/publications/advances-in-wound-care/605
1756-8919,Future Medicinal Chemistry,future medicinal chemistry,https://www.future-science.com/journal/fmc
1740-0562,International Journal of High Performance Computing and Networking,international journal of high performance computing and networking,https://www.inderscience.com/jhome.php?jcode=ijhpcn
1938-6400,Foot & Ankle Specialist,foot & ankle specialist,https://www.webmd.com/pain-management/picture-of-the-feet
0219-5259,Advances in Complex Systems,advances in complex systems,https://www.worldscientific.com/worldscinet/acs
0932-8092,Machine Vision and Applications,machine vision and applications,https://www.springer.com/journal/138
0265-4075,Journal of Social and Personal Relationships,journal of social and personal relationships,https://journals.sagepub.com/home/spr
0040-5167,Textile Progress,textile progress,https://www.tandfonline.com/loi/ttpr20
1084-6654,ACM Journal of Experimental Algorithmics,acm journal of experimental algorithmics,https://dl.acm.org/journal/jea
0047-2220,Journal of Applied Rehabilitation Counseling,journal of applied rehabilitation counseling,https://connect.springerpub.com/content/sgrjarc
0181-1584,"Cryptogamie, Mycologie","cryptogamie, mycologie",https://bioone.org/journals/cryptogamie-mycologie
0079-4252,Postępy Mikrobiologii - Advancements of Microbiology,postępy mikrobiologii - advancements of microbiology,https://www.exeley.com/journal/advancements_of_microbiology
0302-9743,"Ad-hoc, Mobile and Wireless Networks","ad-hoc, mobile and wireless networks",https://link.springer.com/book/10.1007/978-3-030-31831-4
0149-4929,Marriage & Family Review,marriage & family review,https://www.britannica.com/topic/marriage
1046-2937,Text and Performance Quarterly,text and performance quarterly,https://www.tandfonline.com/toc/rtpq20/current
0925-9902,Journal of Intelligent Information Systems,journal of intelligent information systems,https://www.springer.com/journal/10844
0039-7679,Symbolae Osloenses,symbolae osloenses,https://www.tandfonline.com/loi/sosl20
2156-4574,African Journal of Herpetology,african journal of herpetology,https://www.tandfonline.com/toc/ther20/current
1747-4108,Expert Review of Obstetrics & Gynecology,expert review of obstetrics & gynecology,https://www.tandfonline.com/toc/ierb20/current
0092-2102,INFORMS Journal on Applied Analytics,informs journal on applied analytics,https://pubsonline.informs.org/journal/inte
1302-8723,Anadolu Kardiyoloji Dergisi/The Anatolian Journal of Cardiology,anadolu kardiyoloji dergisi/the anatolian journal of cardiology,https://anatoljcardiol.com/
1225-8504,Journal of the Korean Society of International Agriculture,journal of the korean society of international agriculture,http://intagrijournal.org/
0016-7002,GEOCHEMICAL JOURNAL,geochemical journal,https://www.terrapub.co.jp/journals/GJ/
1673-7350,Frontiers of Computer Science in China,frontiers of computer science in china,https://www.springer.com/journal/11704
0188-6266,Acta Universitaria,acta universitaria,http://www.actauniversitaria.ugto.mx/
0921-9668,Qualitas Plantarum et Materiae Vegetabiles,qualitas plantarum et materiae vegetabiles,https://www.researchgate.net/journal/Qualitas-Plantarum-et-Materiae-Vegetabiles-0033-5134
0367-6722,Indian Journal of Animal Research,indian journal of animal research,https://www.arccjournals.com/journals/indian-journal-of-animal-research
2008-6520,The International Journal of Occupational and Environmental Medicine,the international journal of occupational and environmental medicine,https://journals.lww.com/joem/pages/default.aspx
1813-9663,Journal of Computer Science and Cybernetics,journal of computer science and cybernetics,https://vjs.ac.vn/index.php/jcc
2090-388X,Journal of Advanced Studies in Topology,journal of advanced studies in topology,https://www.m-sciences.com/
1540-6962,Wilmott,wilmott,https://wilmott.com/
1093-4391,"Integrative Biology: Issues, News, and Reviews","integrative biology: issues, news, and reviews",https://onlinelibrary.wiley.com/journal/15206602
1865-0929,Intelligent Computation in Big Data Era,intelligent computation in big data era,https://link.springer.com/book/10.1007/978-3-662-46248-5
0019-8676,Industrial Relations: A Journal of Economy and Society,industrial relations: a journal of economy and society,https://onlinelibrary.wiley.com/journal/1468232x
1543-5938,Annual Review of Environment and Resources,annual review of environment and resources,https://www.annualreviews.org/journal/energy
0081-5993,Computational Studies in Organometallic Chemistry,computational studies in organometallic chemistry,https://link.springer.com/book/10.1007/978-3-319-31638-3
0302-9743,Engineering Applications of Bio-Inspired Artificial Neural Networks,engineering applications of bio-inspired artificial neural networks,https://link.springer.com/book/10.1007/BFb0100465
1308-0938,Turkiye Klinikleri Journal of Sports Sciences,turkiye klinikleri journal of sports sciences,https://www.turkiyeklinikleri.com/journal/journal-of-sports-sciences/1308-0938/identity/en-index.html
1874-5393,Journal of Pediatric Rehabilitation Medicine,journal of pediatric rehabilitation medicine,https://www.iospress.com/catalog/journals/journal-of-pediatric-rehabilitation-medicine
0039-1743,Stomatoloski glasnik Srbije,stomatoloski glasnik srbije,http://stomatoloskiglasnik.rs/
0943-0180,Homo Oeconomicus,homo oeconomicus,https://www.investopedia.com/terms/h/homoeconomicus.asp
0954-0911,Soldering & Surface Mount Technology,soldering & surface mount technology,https://www.twi-global.com/technical-knowledge/faqs/what-is-soldering
1770-0078,Psychanalyse,psychanalyse,https://www.collinsdictionary.com/us/dictionary/french-english/psychanalyse
0019-638X,Journal of the Indian Society of Soil Science,journal of the indian society of soil science,https://www.indianjournals.com/ijor.aspx?target=ijor:jisss&type=home
2190-1678,Diabetology International,diabetology international,https://www.springer.com/journal/13340
0075-8434,"Séminaire de Théorie du Potentiel Paris, No. 7","séminaire de théorie du potentiel paris, no. 7",https://link.springer.com/book/10.1007/BFb0099013
0302-9743,SDL 2013: Model-Driven Dependability Engineering,sdl 2013: model-driven dependability engineering,https://link.springer.com/book/10.1007/978-3-642-38911-5
0302-9743,Medical Image Computing and Computer-Assisted Intervention -- MICCAI 2015,medical image computing and computer-assisted intervention -- miccai 2015,https://link.springer.com/book/10.1007/978-3-319-24571-3
0250-3751,Integrated Intraoperative Ocular Coherence Tomography for Pediatric Ocular Surgery,integrated intraoperative ocular coherence tomography for pediatric ocular surgery,https://www.karger.com/Book/Home/278907
1755-151X,International Journal of Innovation in Education,international journal of innovation in education,https://www.inderscience.com/jhome.php?jcode=ijiie
0302-9743,New Horizons in Web Based Learning,new horizons in web based learning,https://link.springer.com/book/10.1007/978-3-662-43454-3
0302-9743,Data Engineering and Management,data engineering and management,https://www.oreilly.com/library/view/implementing-a-smart/9781491983492/ch04.html
0075-8434,Geometric Invariant Theory for Polarized Curves,geometric invariant theory for polarized curves,https://link.springer.com/book/10.1007/978-3-319-11337-1
2071-789X,ECONOMICS & SOCIOLOGY,economics & sociology,https://www.investopedia.com/terms/e/economics.asp
0302-9743,Models and Tools for Managing Development Processes,models and tools for managing development processes,https://link.springer.com/book/10.1007/3-540-46708-4
0302-9743,Correct System Design,correct system design,https://link.springer.com/book/10.1007/3-540-48092-7
0748-8157,Frontiers of Health Services Management,frontiers of health services management,https://journals.lww.com/frontiersonline/pages/default.aspx
0097-6156,"State-of-the-Art and Emerging Technologies for Therapeutic Monoclonal Antibody Characterization Volume 1. Monoclonal Antibody Therapeutics: Structure, Function, and Regulatory Space","state-of-the-art and emerging technologies for therapeutic monoclonal antibody characterization volume 1. monoclonal antibody therapeutics: structure, function, and regulatory space",https://pubs.acs.org/isbn/9780841230262
0097-6156,Chemorheology of Thermosetting Polymers,chemorheology of thermosetting polymers,https://pubs.acs.org/doi/pdf/10.1021/bk-1982-0227.ch001
0873-9749,Acta ethologica,acta ethologica,https://www.springer.com/journal/10211
0097-6156,Glycobiology and Drug Design,glycobiology and drug design,https://pubs.acs.org/doi/pdf/10.1021/bk-2012-1102.ch001
0081-3869,Free-Electron Lasers in the Ultraviolet and X-Ray Regime,free-electron lasers in the ultraviolet and x-ray regime,https://link.springer.com/book/10.1007/978-3-319-04081-3
0097-6156,Flavor Precursors,flavor precursors,https://www.sciencedirect.com/science/article/pii/S0309174015300723
0301-3073,Comparative Aspects of Neuroendocrine Control of Behavior,comparative aspects of neuroendocrine control of behavior,https://www.karger.com/Book/Toc/217476
0097-6156,Managing Resistance to Agrochemicals,managing resistance to agrochemicals,https://pubs.acs.org/doi/pdf/10.1021/bk-1990-0421.ch001
0287-6256,Chiikigaku Kenkyu (Studies in Regional Science),chiikigaku kenkyu (studies in regional science),https://caod.oriprobe.com/journals/JP0108/Chiikigaku_Kenkyu__Studies_in_Regional_Science_.htm
1552-8855,Journal of the Association for Vascular Access,journal of the association for vascular access,https://meridian.allenpress.com/java
0075-8434,Big Queues,big queues,https://link.springer.com/book/10.1007/978-3-540-39889-9
0075-8434,H-spaces from a Homotopy Point of View,h-spaces from a homotopy point of view,https://link.springer.com/book/10.1007/BFb0065896
0066-5452,The Parameterization Method for Invariant Manifolds,the parameterization method for invariant manifolds,https://link.springer.com/book/10.1007/978-3-319-29662-3
1865-0929,Geoinformatics in Sustainable Ecosystem and Society,geoinformatics in sustainable ecosystem and society,https://link.springer.com/book/10.1007/978-981-15-6106-1
2317-2436,Current Agricultural Science and Technology,current agricultural science and technology,https://periodicos.ufpel.edu.br/ojs2/index.php/CAST/index
1052-9411,"Quality Assurance: Good Practice, Regulation, and Law","quality assurance: good practice, regulation, and law",http://journalseek.net/cgi-bin/journalseek/journalsearch.cgi?field=issn&query=1052-9411
1793-0391,Journal Of Chinese Overseas,journal of chinese overseas,https://brill.com/JCO
0251-5342,Current Diabetology,current diabetology,https://www.karger.com/Book/Home/220762
0960-3085,Food and Bioproducts Processing,food and bioproducts processing,https://www.journals.elsevier.com/food-and-bioproducts-processing
0075-8450,"Gravitational Radiation, Collapsed Objects and Exact Solutions","gravitational radiation, collapsed objects and exact solutions",https://link.springer.com/book/10.1007/3-540-09992-1
0075-8434,Heegner Modules and Elliptic Curves,heegner modules and elliptic curves,https://link.springer.com/book/10.1007/b98488
0065-3195,Wax Crystal Control · Nanocomposites · Stimuli-Responsive Polymers,wax crystal control · nanocomposites · stimuli-responsive polymers,https://link.springer.com/book/10.1007/978-3-540-75500-5
1214-1119,Bulletin of Geosciences,bulletin of geosciences,http://www.geology.cz/bulletin/
0075-8434,Graded and Filtered Rings and Modules,graded and filtered rings and modules,https://link.springer.com/book/10.1007/BFb0067331
1554-057X,Foundations and Trends in Networking,foundations and trends in networking,https://www.nowpublishers.com/NET
0303-4216,Physics of Ferroelectrics,physics of ferroelectrics,https://link.springer.com/book/10.1007/978-3-540-34591-6
1759-0914,ASN NEURO,asn neuro,https://journals.sagepub.com/home/asn
0022-2801,The Journal of Modern History,the journal of modern history,https://www.journals.uchicago.edu/toc/jmh/current
1198-9742,Journal of Scholarly Publishing,journal of scholarly publishing,https://www.utpjournals.press/loi/jsp
1748-670X,Computational and Mathematical Methods in Medicine,computational and mathematical methods in medicine,https://www.hindawi.com/journals/cmmm/
0392-0461,The Italian Journal of Neurological Sciences,the italian journal of neurological sciences,https://www.springer.com/journal/10072
0009-2347,Chemical & Engineering News Archive,chemical & engineering news archive,https://www.merriam-webster.com/dictionary/chemical
0263-2136,Family Practice,family practice,https://www.fpacny.com/
0167-4366,Agroforestry Systems,agroforestry systems,https://www.springer.com/journal/10457
0962-9351,Mediators of Inflammation,mediators of inflammation,https://www.hindawi.com/journals/mi/
0006-8950,Brain,brain,https://www.webmd.com/brain/picture-of-the-brain
0952-3367,The International Journal of the History of Sport,the international journal of the history of sport,https://www.tandfonline.com/toc/fhsp20/current
0956-4624,International Journal of STD & AIDS,international journal of std & aids,https://journals.sagepub.com/home/std
0014-2085,Études françaises,études françaises,https://www.erudit.org/en/journals/etudfr/
0213-005X,Enfermedades Infecciosas y Microbiología Clínica,enfermedades infecciosas y microbiología clínica,https://www.journals.elsevier.com/enfermedades-infecciosas-y-microbiologia-clinica
0268-8697,British Journal of Neurosurgery,british journal of neurosurgery,https://www.tandfonline.com/toc/ibjn20/current
0036-9306,Scottish Journal of Theology,scottish journal of theology,https://www.cambridge.org/core/journals/scottish-journal-of-theology
0167-2436,Kind en adolescent,kind en adolescent,https://link.springer.com/journal/12453/volumes-and-issues
0078-7191,Oxford German Studies,oxford german studies,https://www.tandfonline.com/toc/yogs20/current
2159-8282,International Critical Thought,international critical thought,https://www.tandfonline.com/toc/rict20/current
0302-9743,Chinese Lexical Semantics,chinese lexical semantics,https://link.springer.com/book/10.1007/978-3-030-38189-9
0176-4268,Journal of Classification,journal of classification,https://www.springer.com/journal/357
1462-5814,Cellular Microbiology,cellular microbiology,https://onlinelibrary.wiley.com/journal/14625822
0920-8569,Virus Genes,virus genes,https://www.springer.com/journal/11262
1078-8956,Nature Medicine,nature medicine,https://www.nature.com/nm/
0976-495X,Asian Journal of Management,asian journal of management,https://ajmjournal.com/
0302-9743,Transactions on Aspect-Oriented Software Development V,transactions on aspect-oriented software development v,https://www.springer.com/series/7584
0094-2405,Medical Physics,medical physics,https://aapm.onlinelibrary.wiley.com/journal/24734209
1432-8917,Materials Research Innovations,materials research innovations,https://www.tandfonline.com/toc/ymri20/current
1078-1552,Journal of Oncology Pharmacy Practice,journal of oncology pharmacy practice,https://journals.sagepub.com/home/opp
0040-2982,Tempo,tempo,https://tempo.fit/
1306-0015,Türk Pediatri Arşivi,türk pediatri arşivi,https://www.turkarchpediatr.org/
1226-4881,Transactions of the Korean Society of Mechanical Engineers - B,transactions of the korean society of mechanical engineers - b,http://www.koreascience.or.kr/journal/DHGGDU.page
2070-0733,Advances in Applied Mathematics and Mechanics,advances in applied mathematics and mechanics,https://www.global-sci.org/aamm/
0890-037X,Weed Technology,weed technology,https://www.cambridge.org/core/journals/weed-technology
2042-1869,Film Matters,film matters,https://www.filmmattersmagazine.com/
1389-4978,Journal of Happiness Studies,journal of happiness studies,https://www.springer.com/journal/10902
1539-6746,Communications in Mathematical Sciences,communications in mathematical sciences,https://www.intlpress.com/cms
2156-8960,"The International Journal of Health, Wellness, and Society","the international journal of health, wellness, and society",https://healthandsociety.com/journal
1467-7881,Obesity Reviews,obesity reviews,https://onlinelibrary.wiley.com/journal/1467789x
1048-5236,Strategic Planning for Energy and the Environment,strategic planning for energy and the environment,https://www.journal.riverpublishers.com/index.php/SPEE/
2374-4731,Science and Technology for the Built Environment,science and technology for the built environment,https://www.tandfonline.com/toc/uhvc21/current
1470-2266,Global Networks,global networks,https://onlinelibrary.wiley.com/journal/14710374
1368-4868,Teaching Theology & Religion,teaching theology & religion,https://onlinelibrary.wiley.com/journal/14679647
1726-037X,Journal of Dynamical Systems and Geometric Theories,journal of dynamical systems and geometric theories,https://www.tandfonline.com/toc/tdsg20/current
0097-6156,Fluorinated Heterocycles,fluorinated heterocycles,https://pubs.acs.org/doi/pdf/10.1021/bk-2009-1003.ch001
1345-4676,Journal of Nippon Medical School,journal of nippon medical school,https://www.nms.ac.jp/sh/jnms/
0001-5903,Acta Informatica,acta informatica,https://www.springer.com/journal/236
1134-5764,TOP,top,https://tophat.com/
1527-3342,IEEE Microwave Magazine,ieee microwave magazine,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=6668
1356-3890,Evaluation,evaluation,https://www.merriam-webster.com/dictionary/evaluation
1076-898X,Journal of Experimental Psychology: Applied,journal of experimental psychology: applied,https://www.apa.org/pubs/journals/xap
1547-6278,Organogenesis,organogenesis,https://organogenesis.com/
1226-7155,International Journal of Oral Biology,international journal of oral biology,http://www.kijob.or.kr/
1486-3847,Canadian Journal of Dietetic Practice and Research,canadian journal of dietetic practice and research,https://dcjournal.ca/
0179-5376,Discrete and Computational Geometry,discrete and computational geometry,https://www.springer.com/journal/454
1387-6759,Languages in Contrast,languages in contrast,https://benjamins.com/catalog/lic
1880-8913,Journal of Japan Academy of Critical Care Nursing,journal of japan academy of critical care nursing,https://www.jstage.jst.go.jp/browse/jaccn
1871-7934,Genomic Medicine,genomic medicine,https://www.genome.gov/health/Genomics-and-Medicine
1468-7976,Tourist Studies,tourist studies,https://journals.sagepub.com/home/tou
1364-0461,International Journal of Cast Metals Research,international journal of cast metals research,https://www.tandfonline.com/toc/ycmr20/current
1619-1366,Software & Systems Modeling,software & systems modeling,https://www.britannica.com/technology/software
1757-1871,Journal of Dance and Somatic Practices,journal of dance and somatic practices,https://www.intellectbooks.com/journal-of-dance-somatic-practices
0883-8542,Applied Engineering in Agriculture,applied engineering in agriculture,https://www.asabe.org/Applied
2005-615X,Multicultural Education Review,multicultural education review,https://www.tandfonline.com/toc/rmer20/current
0264-1801,Psychological Medicine. Monograph Supplement,psychological medicine. monograph supplement,https://www.cambridge.org/core/journals/psychological-medicine-monograph-supplement
1179-5476,Clinical Medicine Insights: Case Reports,clinical medicine insights: case reports,https://journals.sagepub.com/home/icr
1359-4575,British Journal of Music Therapy,british journal of music therapy,https://journals.sagepub.com/home/bjm
2210-4070,Metaphor and the Social World,metaphor and the social world,https://benjamins.com/catalog/msw
1420-2360,Dermatologica Helvetica,dermatologica helvetica,http://dermatologicahelvetica.com/en/home
1464-8989,The interaction of finite-type and Gromov--Witten invariants (BIRS 2003),the interaction of finite-type and gromov--witten invariants (birs 2003),https://www.birs.ca/workshops/2003/03w5020/report03w5020.pdf
