Journal Title,ISSN,Reason,Journal Title Normalized,URL,Data Source,added,Remove_Date,Add_Date,reason_category,Folder
Arquitectura+,2518-2943,Still in DOAJ index,arquitectura+,http://www.revistas.uni.edu.ni/index.php/arquitectura/index,DOAJ,1.0,1300-01-01 00:00:00,2021-01-25 00:00:00,interesting reason,http:__www.revistas.uni.edu.ni_index.php_arquitectura_index
Arta,2345-1181,Still in DOAJ index,arta,http://artjournal.asm.md/en/,DOAJ,1.0,1300-01-01 00:00:00,2017-11-07 00:00:00,interesting reason,http:__artjournal.asm.md_en_
Artefilosofia,1809-8274,Still in DOAJ index,artefilosofia,https://periodicos.ufop.br:8082/pp/index.php/raf,DOAJ,1.0,1300-01-01 00:00:00,2020-07-27 00:00:00,interesting reason,https:__periodicos.ufop.br:8082_pp_index.php_raf
Atas de Saúde Ambiental,2357-7614,Still in DOAJ index,atas de saúde ambiental,http://www.revistaseletronicas.fmu.br/index.php/ASA/index,DOAJ,1.0,1300-01-01 00:00:00,2019-01-29 00:00:00,interesting reason,http:__www.revistaseletronicas.fmu.br_index.php_ASA_index
Australian Journal of Applied Linguistics,2209-0959,Still in DOAJ index,australian journal of applied linguistics,https://www.castledown.com/journals/ajal/,DOAJ,1.0,1300-01-01 00:00:00,2018-08-04 00:00:00,interesting reason,https:__www.castledown.com_journals_ajal_
Automotive Experiences,2615-6636,Still in DOAJ index,automotive experiences,http://journal.ummgl.ac.id/index.php/AutomotiveExperiences/index,DOAJ,1.0,1300-01-01 00:00:00,2020-03-16 00:00:00,interesting reason,http:__journal.ummgl.ac.id_index.php_AutomotiveExperiences_index
Balaba: Jurnal Litbang Pengendalian Penyakit Bersumber Binatang Banjarnegara,1858-0882,Still in DOAJ index,balaba: jurnal litbang pengendalian penyakit bersumber binatang banjarnegara,http://ejournal.litbang.depkes.go.id/index.php/blb,DOAJ,1.0,1300-01-01 00:00:00,2016-09-08 00:00:00,interesting reason,http:__ejournal.litbang.depkes.go.id_index.php_blb
Bioedukasi: Jurnal Pendidikan Biologi FKIP UM Metro,2086-4701,Still in DOAJ index,bioedukasi: jurnal pendidikan biologi fkip um metro,http://fkip.ummetro.ac.id/journal/index.php/biologi/index,DOAJ,1.0,1300-01-01 00:00:00,2017-04-25 00:00:00,interesting reason,http:__fkip.ummetro.ac.id_journal_index.php_biologi_index
Borneo Journal of Resource Science and Technology,2229-9769,Still in DOAJ index,borneo journal of resource science and technology,http://www.bjrst.unimas.my,DOAJ,1.0,1300-01-01 00:00:00,2017-11-26 00:00:00,interesting reason,http:__www.bjrst.unimas.my
Buletinul Științific al Universității de Stat „B.P. Hasdeu” din Cahul: Științe Sociale,2345-1858,Still in DOAJ index,buletinul științific al universității de stat „b.p. hasdeu” din cahul: științe sociale,http://jss.usch.md/,DOAJ,1.0,1300-01-01 00:00:00,2020-08-05 00:00:00,interesting reason,http:__jss.usch.md_
Bulletin of Chemical Reaction Engineering & Catalysis,1978-2993,Still in DOAJ index,bulletin of chemical reaction engineering & catalysis,http://ejournal.undip.ac.id/index.php/bcrec,DOAJ,1.0,1300-01-01 00:00:00,2015-03-30 00:00:00,interesting reason,http:__ejournal.undip.ac.id_index.php_bcrec
Bulletin of Counseling and Psychotherapy,2656-1050,Still in DOAJ index,bulletin of counseling and psychotherapy,https://journal.kurasinstitute.com/index.php/bocp,DOAJ,1.0,1300-01-01 00:00:00,2020-08-03 00:00:00,interesting reason,https:__journal.kurasinstitute.com_index.php_bocp
Cadernos do CEOM,1413-8409,Still in DOAJ index,cadernos do ceom,http://bell.unochapeco.edu.br/revistas/index.php/rcc,DOAJ,1.0,1300-01-01 00:00:00,2020-05-20 00:00:00,interesting reason,http:__bell.unochapeco.edu.br_revistas_index.php_rcc
Cadernos do Desenvolvimento Fluminense,2317-6539,Still in DOAJ index,cadernos do desenvolvimento fluminense,http://www.e-publicacoes.uerj.br/index.php/cdf,DOAJ,1.0,1300-01-01 00:00:00,2016-01-28 00:00:00,interesting reason,http:__www.e-publicacoes.uerj.br_index.php_cdf
Cakrawala: Jurnal Studi Islam,1829-8931,Still in DOAJ index,cakrawala: jurnal studi islam,http://journal.ummgl.ac.id/index.php/cakrawala/index,DOAJ,1.0,1300-01-01 00:00:00,2017-09-27 00:00:00,interesting reason,http:__journal.ummgl.ac.id_index.php_cakrawala_index
Carpathian Journal of Electronic and Computer Engineering,1844-9689,Still in DOAJ index,carpathian journal of electronic and computer engineering,http://cjece.ubm.ro/,DOAJ,1.0,1300-01-01 00:00:00,2015-12-16 00:00:00,interesting reason,http:__cjece.ubm.ro_
"Celt: A Journal of Culture, English Language Teaching & Literature",1412-3320,Still in DOAJ index,"celt: a journal of culture, english language teaching & literature",http://journal.unika.ac.id/index.php/celt,DOAJ,1.0,1300-01-01 00:00:00,2017-07-31 00:00:00,interesting reason,http:__journal.unika.ac.id_index.php_celt
Chinese Journal of Magnetic Resonance,1000-4556,Still in DOAJ index,chinese journal of magnetic resonance,http://magres.wipm.ac.cn,DOAJ,1.0,1300-01-01 00:00:00,2016-12-30 00:00:00,interesting reason,http:__magres.wipm.ac.cn
Ciencia e Interculturalidad,1997-9231,Still in DOAJ index,ciencia e interculturalidad,http://revistas.uraccan.edu.ni/index.php/Interculturalidad,DOAJ,1.0,1300-01-01 00:00:00,2018-02-04 00:00:00,interesting reason,http:__revistas.uraccan.edu.ni_index.php_Interculturalidad
Civic-culture,2579-9878,Still in DOAJ index,civic-culture,http://jurnal.stkippgri-bkl.ac.id/index.php/CC,DOAJ,1.0,1300-01-01 00:00:00,2018-01-30 00:00:00,interesting reason,http:__jurnal.stkippgri-bkl.ac.id_index.php_CC
Colombia Forense,2145-9649,Still in DOAJ index,colombia forense,http://colombiaforense.ucc.edu.co,DOAJ,1.0,1300-01-01 00:00:00,2017-11-24 00:00:00,interesting reason,http:__colombiaforense.ucc.edu.co
Contemporânea,2236-532X,Still in DOAJ index,contemporânea,http://www.contemporanea.ufscar.br/index.php/contemporanea/index,DOAJ,1.0,1300-01-01 00:00:00,2021-04-02 00:00:00,interesting reason,http:__www.contemporanea.ufscar.br_index.php_contemporanea_index
Contexto,1519-0544,Still in DOAJ index,contexto,http://erevistas.saber.ula.ve/index.php/contexto,DOAJ,1.0,1300-01-01 00:00:00,2020-07-10 00:00:00,interesting reason,http:__erevistas.saber.ula.ve_index.php_contexto
Curricula: Journal of Teaching and Learning,2502-0714,Still in DOAJ index,curricula: journal of teaching and learning,http://ejournal.kopertis10.or.id/index.php/curricula/index,DOAJ,1.0,1300-01-01 00:00:00,2019-10-29 00:00:00,interesting reason,http:__ejournal.kopertis10.or.id_index.php_curricula_index
Decyzje,2391-761X,Still in DOAJ index,decyzje,https://journal.kozminski.edu.pl/index.php/decyzje/index,DOAJ,1.0,1300-01-01 00:00:00,2018-06-07 00:00:00,interesting reason,https:__journal.kozminski.edu.pl_index.php_decyzje_index
Dentino Jurnal Kedokteran Gigi,2337-5310,Still in DOAJ index,dentino jurnal kedokteran gigi,http://ppjp.unlam.ac.id/journal/index.php/dentino,DOAJ,1.0,1300-01-01 00:00:00,2016-10-27 00:00:00,interesting reason,http:__ppjp.unlam.ac.id_journal_index.php_dentino
Derivatif,1978-6573,Still in DOAJ index,derivatif,http://fe.ummetro.ac.id/ejournal/index.php/JM,DOAJ,1.0,1300-01-01 00:00:00,2017-10-09 00:00:00,interesting reason,http:__fe.ummetro.ac.id_ejournal_index.php_JM
Di-san junyi daxue xuebao,1000-5404,Still in DOAJ index,di-san junyi daxue xuebao,https://aammt.tmmu.edu.cn/,DOAJ,1.0,1300-01-01 00:00:00,2021-03-31 00:00:00,interesting reason,https:__aammt.tmmu.edu.cn_
Diakrisis,2601-7415,Still in DOAJ index,diakrisis,http://diakrisis.orth.ro,DOAJ,1.0,1300-01-01 00:00:00,2018-11-19 00:00:00,interesting reason,http:__diakrisis.orth.ro
Dialogia,1677-1303,Still in DOAJ index,dialogia,http://www4.uninove.br/ojs/index.php/dialogia,DOAJ,1.0,1300-01-01 00:00:00,2016-02-08 00:00:00,interesting reason,http:__www4.uninove.br_ojs_index.php_dialogia
Dianzi Jishu Yingyong,0258-7998,Still in DOAJ index,dianzi jishu yingyong,http://journal.chinaaet.com/en,DOAJ,1.0,1300-01-01 00:00:00,2018-12-13 00:00:00,interesting reason,http:__journal.chinaaet.com_en
Diferencia(s),2469-1100,Still in DOAJ index,diferencia(s),http://www.revista.diferencias.com.ar/index.php/diferencias,DOAJ,1.0,1300-01-01 00:00:00,2020-01-27 00:00:00,interesting reason,http:__www.revista.diferencias.com.ar_index.php_diferencias
Dinika: Academic Journal of Islamic Studies,2503-4219,Still in DOAJ index,dinika: academic journal of islamic studies,http://ejournal.iain-surakarta.ac.id/index.php/dinika,DOAJ,1.0,1300-01-01 00:00:00,2016-12-05 00:00:00,interesting reason,http:__ejournal.iain-surakarta.ac.id_index.php_dinika
Dissertare: Revista de Investigación en Ciencias Sociales,2542-3177,Still in DOAJ index,dissertare: revista de investigación en ciencias sociales,https://revistas.ucla.edu.ve/index.php/dissertare,DOAJ,1.0,1300-01-01 00:00:00,2018-12-22 00:00:00,interesting reason,https:__revistas.ucla.edu.ve_index.php_dissertare
EaD & Tecnologias Digitais na Educação,2318-4051,Still in DOAJ index,ead & tecnologias digitais na educação,http://ojs.ufgd.edu.br/index.php/ead,DOAJ,1.0,1300-01-01 00:00:00,2018-04-20 00:00:00,interesting reason,http:__ojs.ufgd.edu.br_index.php_ead
Edukasi: Jurnal Penelitian dan Artikel Pendidikan,2085-1472,Still in DOAJ index,edukasi: jurnal penelitian dan artikel pendidikan,http://journal.ummgl.ac.id/index.php/edukasi/,DOAJ,1.0,1300-01-01 00:00:00,2017-09-29 00:00:00,interesting reason,http:__journal.ummgl.ac.id_index.php_edukasi_
Edukasia Islamika: Jurnal Pendidikan Islam,2548-5822,Still in DOAJ index,edukasia islamika: jurnal pendidikan islam,http://e-journal.iainpekalongan.ac.id/index.php/edukasiaislamika,DOAJ,1.0,1300-01-01 00:00:00,2019-05-05 00:00:00,interesting reason,http:__e-journal.iainpekalongan.ac.id_index.php_edukasiaislamika
Eidos,2544-302X,Still in DOAJ index,eidos,http://rcientificas.uninorte.edu.co/index.php/eidos/index,DOAJ,1.0,1300-01-01 00:00:00,2019-12-10 00:00:00,interesting reason,http:__rcientificas.uninorte.edu.co_index.php_eidos_index
Em Tese,1806-5023,Still in DOAJ index,em tese,http://www.revistaemtese.com.br,DOAJ,1.0,1300-01-01 00:00:00,2016-02-01 00:00:00,interesting reason,http:__www.revistaemtese.com.br
Empati,2337-375X,Still in DOAJ index,empati,http://ejournal-s1.undip.ac.id/index.php/empati,DOAJ,1.0,1300-01-01 00:00:00,2017-08-08 00:00:00,interesting reason,http:__ejournal-s1.undip.ac.id_index.php_empati
Endocrine Oncology and Metabolism,1849-8922,Still in DOAJ index,endocrine oncology and metabolism,http://eom.hdeo.eu/,DOAJ,1.0,1300-01-01 00:00:00,2017-06-21 00:00:00,interesting reason,http:__eom.hdeo.eu_
Ensino de Ciências e Tecnologia em Revista,2237-4450,Still in DOAJ index,ensino de ciências e tecnologia em revista,http://srvapp2s.santoangelo.uri.br/seer/index.php/encitec/index,DOAJ,1.0,1300-01-01 00:00:00,2018-12-24 00:00:00,interesting reason,http:__srvapp2s.santoangelo.uri.br_seer_index.php_encitec_index
Entre-Lugar,2176-9559,Still in DOAJ index,entre-lugar,http://ojs.ufgd.edu.br/index.php/entre-lugar/,DOAJ,1.0,1300-01-01 00:00:00,2019-09-21 00:00:00,interesting reason,http:__ojs.ufgd.edu.br_index.php_entre-lugar_
Estudos e Pesquisas em Psicologia,1676-3041,Still in DOAJ index,estudos e pesquisas em psicologia,https://www.e-publicacoes.uerj.br/index.php/revispsi/index,DOAJ,1.0,1300-01-01 00:00:00,2019-08-03 00:00:00,interesting reason,https:__www.e-publicacoes.uerj.br_index.php_revispsi_index
Exlibris,2314-3894,Still in DOAJ index,exlibris,http://revistas.filo.uba.ar/index.php/exlibris,DOAJ,1.0,1300-01-01 00:00:00,2018-07-09 00:00:00,interesting reason,http:__revistas.filo.uba.ar_index.php_exlibris
Faedpyme International Review,2255-078X,Still in DOAJ index,faedpyme international review,http://www.faedpyme.upct.es/fir,DOAJ,1.0,1300-01-01 00:00:00,2015-04-08 00:00:00,interesting reason,http:__www.faedpyme.upct.es_fir
Forum Philosophicum,1426-1898,Still in DOAJ index,forum philosophicum,https://forumphilosophicum.ignatianum.edu.pl,DOAJ,1.0,1300-01-01 00:00:00,2021-01-24 00:00:00,interesting reason,https:__forumphilosophicum.ignatianum.edu.pl
Gelecek Vizyonlar Dergisi,2602-4225,Still in DOAJ index,gelecek vizyonlar dergisi,http://www.futurevisionsjournal.com/Anasayfa.Aspx,DOAJ,1.0,1300-01-01 00:00:00,2018-07-31 00:00:00,interesting reason,http:__www.futurevisionsjournal.com_Anasayfa.Aspx
Geo UERJ,1415-7543,Still in DOAJ index,geo uerj,http://www.e-publicacoes.uerj.br/index.php/geouerj,DOAJ,1.0,1300-01-01 00:00:00,2014-11-14 00:00:00,interesting reason,http:__www.e-publicacoes.uerj.br_index.php_geouerj
Geografija ir Edukacija,2351-6453,Still in DOAJ index,geografija ir edukacija,http://www.ge.leu.lt/,DOAJ,1.0,1300-01-01 00:00:00,2017-04-04 00:00:00,interesting reason,http:__www.ge.leu.lt_
"Geomatics, Landmanagement and Landscape",2300-1496,Still in DOAJ index,"geomatics, landmanagement and landscape",http://gll.ur.krakow.pl,DOAJ,1.0,1300-01-01 00:00:00,2017-04-03 00:00:00,interesting reason,http:__gll.ur.krakow.pl
Geomatika,0854-2759,Still in DOAJ index,geomatika,http://jurnal.big.go.id/index.php/GM,DOAJ,1.0,1300-01-01 00:00:00,2018-07-06 00:00:00,interesting reason,http:__jurnal.big.go.id_index.php_GM
Geoplanning: Journal of Geomatics and Planning,2355-6544,Still in DOAJ index,geoplanning: journal of geomatics and planning,https://ejournal.undip.ac.id/index.php/geoplanning/index,DOAJ,1.0,1300-01-01 00:00:00,2015-12-08 00:00:00,interesting reason,https:__ejournal.undip.ac.id_index.php_geoplanning_index
Gragoatá,1413-9073,Still in DOAJ index,gragoatá,http://www.gragoata.uff.br/,DOAJ,1.0,1300-01-01 00:00:00,2019-03-03 00:00:00,interesting reason,http:__www.gragoata.uff.br_
Grifos,2175-0157,Still in DOAJ index,grifos,http://bell.unochapeco.edu.br/revistas/index.php/grifos/index,DOAJ,1.0,1300-01-01 00:00:00,2021-01-14 00:00:00,interesting reason,http:__bell.unochapeco.edu.br_revistas_index.php_grifos_index
Guidena,2442-7802,Still in DOAJ index,guidena,https://ojs.fkip.ummetro.ac.id/index.php/bk/index,DOAJ,1.0,1300-01-01 00:00:00,2021-01-11 00:00:00,interesting reason,https:__ojs.fkip.ummetro.ac.id_index.php_bk_index
Hangkong bingqi,1673-5048,Still in DOAJ index,hangkong bingqi,http://www.aeroweaponry.avic.com/EN/1673-5048/home.shtml,DOAJ,1.0,1300-01-01 00:00:00,2021-03-31 00:00:00,interesting reason,http:__www.aeroweaponry.avic.com_EN_1673-5048_home.shtml
Havacılık ve Uzay Teknolojileri Dergisi,1304-0448,Still in DOAJ index,havacılık ve uzay teknolojileri dergisi,http://www.jast.hho.edu.tr,DOAJ,1.0,1300-01-01 00:00:00,2019-05-30 00:00:00,interesting reason,http:__www.jast.hho.edu.tr
Health Science Journal of Indonesia,2087-7021,Still in DOAJ index,health science journal of indonesia,http://ejournal.litbang.depkes.go.id/index.php/HSJI,DOAJ,1.0,1300-01-01 00:00:00,2015-05-22 00:00:00,interesting reason,http:__ejournal.litbang.depkes.go.id_index.php_HSJI
Historia: Jurnal Pendidikan Sejarah FKIP UM Metro,2337-4713,Still in DOAJ index,historia: jurnal pendidikan sejarah fkip um metro,http://www.fkip.ummetro.ac.id/journal/index.php/sejarah/index,DOAJ,1.0,1300-01-01 00:00:00,2016-12-06 00:00:00,interesting reason,http:__www.fkip.ummetro.ac.id_journal_index.php_sejarah_index
Human Falah: Jurnal Ekonomi dan Bisnis Islam,2407-7119,Still in DOAJ index,human falah: jurnal ekonomi dan bisnis islam,http://jurnal.uinsu.ac.id/index.php/humanfalah,DOAJ,1.0,1300-01-01 00:00:00,2016-11-10 00:00:00,interesting reason,http:__jurnal.uinsu.ac.id_index.php_humanfalah
IBDA': Jurnal Kebudayaan Islam,1693-6736,Still in DOAJ index,ibda': jurnal kebudayaan islam,http://ejournal.iainpurwokerto.ac.id/index.php/ibda,DOAJ,1.0,1300-01-01 00:00:00,2017-05-04 00:00:00,interesting reason,http:__ejournal.iainpurwokerto.ac.id_index.php_ibda
IJEE (Indonesian Journal of English Education),2356-1777,Still in DOAJ index,ijee (indonesian journal of english education),http://journal.uinjkt.ac.id/index.php/ijee,DOAJ,1.0,1300-01-01 00:00:00,2016-06-14 00:00:00,interesting reason,http:__journal.uinjkt.ac.id_index.php_ijee
IJLRES (International Journal on Language Research and Education Studies),2580-6777,Still in DOAJ index,ijlres (international journal on language research and education studies),http://jurnal.uinsu.ac.id/index.php/ijlres,DOAJ,1.0,1300-01-01 00:00:00,2017-12-06 00:00:00,interesting reason,http:__jurnal.uinsu.ac.id_index.php_ijlres
INSANIA: Jurnal Pemikiran Alternatif Kependidikan,2598-3091,Still in DOAJ index,insania: jurnal pemikiran alternatif kependidikan,http://ejournal.iainpurwokerto.ac.id/index.php/insania,DOAJ,1.0,1300-01-01 00:00:00,2019-12-26 00:00:00,interesting reason,http:__ejournal.iainpurwokerto.ac.id_index.php_insania
"ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information Sciences","2194-9042, 2194-9050",Still in DOAJ index,"isprs annals of the photogrammetry, remote sensing and spatial information sciences",http://www.isprs.org/publications/annals.aspx,DOAJ,1.0,1300-01-01 00:00:00,2015-03-23 00:00:00,interesting reason,http:__www.isprs.org_publications_annals.aspx
Ijtimā'iyya,2541-2736,Still in DOAJ index,ijtimā'iyya,http://ejournal.iainpurwokerto.ac.id/index.php/ijtimaiyya,DOAJ,1.0,1300-01-01 00:00:00,2019-01-19 00:00:00,interesting reason,http:__ejournal.iainpurwokerto.ac.id_index.php_ijtimaiyya
Ikala: Revista de Lenguaje y Cultura,0123-3432,Still in DOAJ index,ikala: revista de lenguaje y cultura,http://aprendeenlinea.udea.edu.co/revistas/index.php/ikala/index,DOAJ,1.0,1300-01-01 00:00:00,2017-12-22 00:00:00,interesting reason,http:__aprendeenlinea.udea.edu.co_revistas_index.php_ikala_index
"InSitu: Revista Científica do Programa de Mestrado Profissional em Projeto, Produção e Gestão do Espaço Urbano",2446-9696,Still in DOAJ index,"insitu: revista científica do programa de mestrado profissional em projeto, produção e gestão do espaço urbano",http://www.revistaseletronicas.fiamfaam.br/index.php/situs/index,DOAJ,1.0,1300-01-01 00:00:00,2017-11-29 00:00:00,interesting reason,http:__www.revistaseletronicas.fiamfaam.br_index.php_situs_index
Indonesian EFL Journal,2541-3635,Still in DOAJ index,indonesian efl journal,https://journal.uniku.ac.id/index.php/IEFLJ,DOAJ,1.0,1300-01-01 00:00:00,2018-08-04 00:00:00,interesting reason,https:__journal.uniku.ac.id_index.php_IEFLJ
Indonesian Journal of Tropical and Infectious Disease,2085-1103,Still in DOAJ index,indonesian journal of tropical and infectious disease,http://e-journal.unair.ac.id/index.php/IJTID,DOAJ,1.0,1300-01-01 00:00:00,2016-09-30 00:00:00,interesting reason,http:__e-journal.unair.ac.id_index.php_IJTID
Ingeniería al Día,2389-7309,Still in DOAJ index,ingeniería al día,http://revista.unisinu.edu.co/revista/index.php/ingenieriaaldia,DOAJ,1.0,1300-01-01 00:00:00,2017-07-08 00:00:00,interesting reason,http:__revista.unisinu.edu.co_revista_index.php_ingenieriaaldia
Intellector,1808-0529,Still in DOAJ index,intellector,http://www.cenegri.org.br/intellector/ojs-2.4.3/index.php/intellector/index,DOAJ,1.0,1300-01-01 00:00:00,2017-11-24 00:00:00,interesting reason,http:__www.cenegri.org.br_intellector_ojs-2.4.3_index.php_intellector_index
International Journal of Educational Excellence,2373-5929,Still in DOAJ index,international journal of educational excellence,http://umet.suagm.edu/international_journal_educational_excellence,DOAJ,1.0,1300-01-01 00:00:00,2017-03-15 00:00:00,interesting reason,http:__umet.suagm.edu_international_journal_educational_excellence
International Journal of Emerging Issues in Early Childhood Education,2685-4074,Still in DOAJ index,international journal of emerging issues in early childhood education,http://journals.rsfpress.com/index.php/ijeiece/index,DOAJ,1.0,1300-01-01 00:00:00,2020-06-30 00:00:00,interesting reason,http:__journals.rsfpress.com_index.php_ijeiece_index
International Journal of Innovation in Mechanical Engineering and Advanced Materials,2477-541X,Still in DOAJ index,international journal of innovation in mechanical engineering and advanced materials,http://umb-intl-journal.com/,DOAJ,1.0,1300-01-01 00:00:00,2017-04-11 00:00:00,interesting reason,http:__umb-intl-journal.com_
International Journal of Theory and Application in Elementary and Secondary School Education (IJTAESE),2684-7167,Still in DOAJ index,international journal of theory and application in elementary and secondary school education (ijtaese),http://journals.rsfpress.com/index.php/ijtaese,DOAJ,1.0,1300-01-01 00:00:00,2020-06-29 00:00:00,interesting reason,http:__journals.rsfpress.com_index.php_ijtaese
International Journal on Research in STEM Education,2721-2904,Still in DOAJ index,international journal on research in stem education,http://journals.rsfpress.com/index.php/ijrse,DOAJ,1.0,1300-01-01 00:00:00,2020-06-30 00:00:00,interesting reason,http:__journals.rsfpress.com_index.php_ijrse
International Journal on Smart Material and Mechatronics,2356-5314,Still in DOAJ index,international journal on smart material and mechatronics,http://siaka.unhas.ac.id/ijsmm/,DOAJ,1.0,1300-01-01 00:00:00,2015-09-14 00:00:00,interesting reason,http:__siaka.unhas.ac.id_ijsmm_
Investigación Valdizana,1994-1420,Still in DOAJ index,investigación valdizana,http://revistas.unheval.edu.pe/index.php/riv,DOAJ,1.0,1300-01-01 00:00:00,2018-09-18 00:00:00,interesting reason,http:__revistas.unheval.edu.pe_index.php_riv
Investigación y Educación en Enfermería,0120-5307,Still in DOAJ index,investigación y educación en enfermería,http://aprendeenlinea.udea.edu.co/revistas/index.php/iee/index,DOAJ,1.0,1300-01-01 00:00:00,2017-07-14 00:00:00,interesting reason,http:__aprendeenlinea.udea.edu.co_revistas_index.php_iee_index
Iranian Biomedical Journal,1028-852X,Still in DOAJ index,iranian biomedical journal,http://ibj.pasteur.ac.ir/,DOAJ,1.0,1300-01-01 00:00:00,2020-01-09 00:00:00,interesting reason,http:__ibj.pasteur.ac.ir_
Izumi,2338-249X,Still in DOAJ index,izumi,http://ejournal.undip.ac.id/index.php/izumi,DOAJ,1.0,1300-01-01 00:00:00,2016-01-05 00:00:00,interesting reason,http:__ejournal.undip.ac.id_index.php_izumi
J@ti Undip: Jurnal Teknik Industri,1907-1434,Still in DOAJ index,j@ti undip: jurnal teknik industri,http://ejournal.undip.ac.id/index.php/jgti,DOAJ,1.0,1300-01-01 00:00:00,2017-01-16 00:00:00,interesting reason,http:__ejournal.undip.ac.id_index.php_jgti
JIIS: Jurnal Ilmiah Ibnu Sina,2502-647X,Still in DOAJ index,jiis: jurnal ilmiah ibnu sina,http://jiis.akfar-isfibjm.ac.id/index.php?journal=JIIS&page=index,DOAJ,1.0,1300-01-01 00:00:00,2020-05-11 00:00:00,interesting reason,http:__jiis.akfar-isfibjm.ac.id_index.php?journal=JIIS&page=index
Jisuanji kexue,1002-137X,Still in DOAJ index,jisuanji kexue,http://www.jsjkx.com/CN/1002-137X/home.shtml,DOAJ,1.0,1300-01-01 00:00:00,2021-09-10 00:00:00,interesting reason,http:__www.jsjkx.com_CN_1002-137X_home.shtml
"Journal d’Economie, de Management, d’Environnement et de Droit",2605-6461,Still in DOAJ index,"journal d’economie, de management, d’environnement et de droit",https://revues.imist.ma/index.php/JEMED,DOAJ,1.0,1300-01-01 00:00:00,2020-11-03 00:00:00,interesting reason,https:__revues.imist.ma_index.php_JEMED
Journal of Academia,2289-6368,Still in DOAJ index,journal of academia,http://myjms.moe.gov.my/index.php/joa,DOAJ,1.0,1300-01-01 00:00:00,2020-09-21 00:00:00,interesting reason,http:__myjms.moe.gov.my_index.php_joa
Journal of Aquaculture and Fish Health,2301-7309,Still in DOAJ index,journal of aquaculture and fish health,https://e-journal.unair.ac.id/JAFH/index,DOAJ,1.0,1300-01-01 00:00:00,2019-06-27 00:00:00,interesting reason,https:__e-journal.unair.ac.id_JAFH_index
Journal of Contemporary Islam and Muslim Societies,2528-6110,Still in DOAJ index,journal of contemporary islam and muslim societies,http://jurnal.uinsu.ac.id/index.php/JCIMS/index,DOAJ,1.0,1300-01-01 00:00:00,2019-02-15 00:00:00,interesting reason,http:__jurnal.uinsu.ac.id_index.php_JCIMS_index
Journal of Dental Biomaterial,2383-398X,Still in DOAJ index,journal of dental biomaterial,http://jdb.sums.ac.ir/,DOAJ,1.0,1300-01-01 00:00:00,2015-09-08 00:00:00,interesting reason,http:__jdb.sums.ac.ir_
Journal of Dinamika Hukum,1410-0797,Still in DOAJ index,journal of dinamika hukum,http://dinamikahukum.fh.unsoed.ac.id,DOAJ,1.0,1300-01-01 00:00:00,2015-05-14 00:00:00,interesting reason,http:__dinamikahukum.fh.unsoed.ac.id
"Journal of Education, Health and Sport",2391-8306,Still in DOAJ index,"journal of education, health and sport",http://www.ojs.ukw.edu.pl/index.php/johs/index,DOAJ,1.0,1300-01-01 00:00:00,2017-01-31 00:00:00,interesting reason,http:__www.ojs.ukw.edu.pl_index.php_johs_index
Journal of Fisheries,2311-729X,Still in DOAJ index,journal of fisheries,http://www.journal.bdfish.org/index.php/fisheries,DOAJ,1.0,1300-01-01 00:00:00,2015-09-11 00:00:00,interesting reason,http:__www.journal.bdfish.org_index.php_fisheries
Journal of Inonu University Faculty of Education,1300-2899,Still in DOAJ index,journal of inonu university faculty of education,http://efdergi.inonu.edu.tr/index,DOAJ,1.0,1300-01-01 00:00:00,2016-04-05 00:00:00,interesting reason,http:__efdergi.inonu.edu.tr_index
Journal of International Economics and Management,2615-9856,Still in DOAJ index,journal of international economics and management,http://jiem.ftu.edu.vn/,DOAJ,1.0,1300-01-01 00:00:00,2021-11-23 00:00:00,interesting reason,http:__jiem.ftu.edu.vn_
Journal of Islamic and Religious Studies,2519-7118,Still in DOAJ index,journal of islamic and religious studies,http://www.jirs.uoh.edu.pk/jirs/index.php?journal=JIRS,DOAJ,1.0,1300-01-01 00:00:00,2017-08-30 00:00:00,interesting reason,http:__www.jirs.uoh.edu.pk_jirs_index.php?journal=JIRS
Journal of Istanbul University Faculty of Dentistry,2149-2352,Still in DOAJ index,journal of istanbul university faculty of dentistry,http://www.journals.istanbul.edu.tr/iudis/index,DOAJ,1.0,1300-01-01 00:00:00,2016-03-23 00:00:00,interesting reason,http:__www.journals.istanbul.edu.tr_iudis_index
Journal of Medical Microbiology and Infectious Diseases,2345-5349,Still in DOAJ index,journal of medical microbiology and infectious diseases,http://jommid.pasteur.ac.ir/index.php,DOAJ,1.0,1300-01-01 00:00:00,2021-02-22 00:00:00,interesting reason,http:__jommid.pasteur.ac.ir_index.php
Journal of Perspectives in Applied Academic Practice,2051-9788,Still in DOAJ index,journal of perspectives in applied academic practice,http://jpaap.napier.ac.uk/index.php/JPAAP,DOAJ,1.0,1300-01-01 00:00:00,2016-10-10 00:00:00,interesting reason,http:__jpaap.napier.ac.uk_index.php_JPAAP
Journal of Philosophical Criticism,2533-0675,Still in DOAJ index,journal of philosophical criticism,http://journalpc.org,DOAJ,1.0,1300-01-01 00:00:00,2018-03-20 00:00:00,interesting reason,http:__journalpc.org
