Issn,journal_name
1550-7394,Religion & Education
0961-0405,European Environment
1525-0008,Infancy
0733-1347,Herpetological Monographs
0302-9743,Scalable Uncertainty Management
2090-6676,Case Reports in Neurological Medicine
1095-1539,Journal of Environmental Medicine
0097-6156,Chemical Reaction Engineering Reviews—Houston
2168-2011,Journal of Neuroscience and Neuroengineering
1874-1657,Journal of Egyptian History
1757-6458,Journal of Literary & Cultural Disability Studies
2373-3349,New Directions for Student Leadership
0947-8396,Applied Physics A Materials Science & Processing
1783-7677,Journal on Multimodal User Interfaces
0931-1890,Trees - Structure and Function
0302-9743,PRIMA 2018: Principles and Practice of Multi-Agent Systems
1056-9014,Natural Toxins
1695-4033,Anales de Pediatría
1756-8692,International Journal of Climate Change Strategies and Management
2314-615X,Journal of Energy
0081-3869,Infrared Ellipsometry on Semiconductor Layer Structures
0075-8434,The Dynamical System Generated by the 3n+1 Function
2500-607X,Revista Grafía- Cuaderno de trabajo de los profesores de la Facultad de Ciencias Humanas. Universidad Autónoma de Colombia
1509-9423,Discussiones Mathematicae Probability and Statistics
0007-4217,Bulletin de Correspondance Hellénique
0065-3195,Fortschritte der Hochpolymeren-Forschung
0149-6115,Geotechnical Testing Journal
1865-0929,ICT Education
0065-2598,Bio-Nanomedicine for Cancer Therapy
0947-8396,Applied Physics A: Materials Science and Processing
0097-6156,Polymer Adsorption and Dispersion Stability
1865-0929,Technology in Education. Technology-Mediated Proactive Learning
1556-7281,Journal of Digital Forensic Practice
0302-9743,Multi-Agent-Based Simulation XIV
0929-7332,Linguistics in the Netherlands 1994
0070-8356,Predation in Vertebrate Communities
1089-778X,IEEE Transactions on Evolutionary Computation
0075-8434,Invariance and System Theory: Algebraic and Geometric Aspects
0075-8434,"Special Functions, Probability Semigroups, and Hamiltonian Flows"
0586-7614,Schizophrenia Bulletin
0138-0338,Polish Polar Research
0970-4914,Plant Disease Research
0302-9743,High-Performance Modelling and Simulation for Big Data Applications
0081-3869,Stopping of Heavy Ions
0097-6156,Ultraviolet Light Induced Reactions in Polymers
0065-2598,Novel Chemical Tools to Study Ion Channel Biology
0075-8434,Laws of Large Numbers for Normed Linear Spaces and Certain Fréchet Spaces
0302-9743,Engineering Societies in the Agents World V
1568-0088,"Current Drug Targets-Immune, Endocrine & Metabolic Disorders"
1865-0929,"Distributed Computer and Communication Networks: Control, Computation, Communications"
1572-0373,Human Robot Collaborative Intelligence
0719-2460,Journal of Oral Research
1198-743X,Clinical Microbiology & Infection
2148-4139,"Volume 7, Issue 3"
0883-9115,Journal of Bioactive and Compatible Polymers
0302-5144,Cyclosporin in the Therapy of Renal Disease
0037-9271,Annales de la Société Entomologique de France
0075-8434,Shadowing and Hyperbolicity
0002-953X,The American Journal of Psychiatry
1535-6841,City and Community
0022-5363,The Journal of value Inquiry
0167-6369,Environmental Monitoring and Assessment
0022-0574,Journal of Education
1077-260X,IEEE Journal of Selected Topics in Quantum Electronics
1361-1682,Transactions in GIS
1553-4006,Annual Review of Pathology: Mechanisms of Disease
0361-5413,History in Africa
2160-8881,Optics and Photonics Journal
0267-0836,Materials Science and Technology
0895-2841,Journal of Women & Aging
1028-6276,"Iranian Journal of Science and Technology, Transactions A: Science"
1832-4274,Twin Research and Human Genetics
1832-4274,Twin Research and Human Genetics
0923-6082,Multidimensional Systems and Signal Processing
1206-3312,Space and Culture
1085-9195,Cell Biochemistry and Biophysics
0010-9312,CORROSION
0305-764X,Cambridge Journal of Education
0003-9101,Archiv für Geschichte der Philosophie
0895-0172,The Journal of Neuropsychiatry and Clinical Neurosciences
0265-8240,"Law <html_ent glyph=""@amp;"" ascii=""&amp;""/> Policy"
0911-3576,The Japanese Journal of Real Estate Sciences
2228-7523,Anesthesiology and Pain Medicine
0894-1491,Glia
0272-4936,Annals of Tropical Paediatrics
1947-5411,International Journal of Smart and Nano Materials
1133-0686,TEST
0145-8892,Journal of Food Processing and Preservation
0029-022X,NIPPON GOMU KYOKAISHI
2158-2440,SAGE Open
0141-9838,Parasite Immunology
1322-0829,Phycological Research
1050-8619,The International Journal for the Psychology of Religion
1741-539X,International Journal of Services Operations and Informatics
1553-3506,Surgical Innovation
2193-5807,Asian Journal of Organic Chemistry
1080-3920,American Foreign Policy Interests
1661-8270,Mathematics in Computer Science
0020-157X,The Innes Review
1567-9764,"International Environmental Agreements: Politics, Law and Economics"
1023-697X,HKIE Transactions
1468-7941,Qualitative Research
0218-1959,International Journal of Computational Geometry & Applications
0268-9146,Animal Genetics
0949-944X,Wilhelm Roux Archiv f�r Entwicklungsmechanik der Organismen
2289-4659,Journal of Mechanical Engineering and Sciences
1063-6161,Women in Sport and Physical Activity Journal
0018-7143,Human Biology
1755-0882,Journal of International Political Theory
0267-4424,Financial Accountability and Management
1865-0929,Knowledge Management in Organizations
1350-5033,Conservation and Management of Archaeological Sites
1058-4609,Political Communication
1479-4802,Research in Mathematics Education
1949-2723,"Personality Disorders: Theory, Research, and Treatment"
2231-671X,Journal of Research in Medical Education & Ethics
1098-4321,Journal of the IEST
0302-9743,Advances in Cryptology – ASIACRYPT 2011
2047-4806,Medical Writing
0964-8410,Corporate Governance: An International Review
1751-8040,Place Branding and Public Diplomacy
0453-0691,Annals of the Japan Association for Philosophy of Science
0134-2452,Computer Optics
0302-9743,Advances in Cryptology – CRYPTO 2018
1865-0929,Data Science
1944-3927,"Theatre, Dance and Performance Training"
1983-1358,Cadernos de Prospecção
1601-6335,Orthodontics and Craniofacial Research
1740-7133,Popular Music History
0302-9743,Agents and Peer-to-Peer Computing
2210-9099,Osong Public Health and Research Perspectives
0080-1844,Mouse Development
0271-4132,Advances in Non-Archimedean Analysis
1743-3509,Urban Transport XII: Urban Transport and the Environment in the 21st Century
0302-9743,Computer Algebra
1090-6738,International Journal of Auditing
1935-5661,International Journal of Information Communication Technologies and Human Development
0030-6428,osteuropa
0730-7829,Music Perception: An Interdisciplinary Journal
0302-9743,Advances in Conceptual Modeling – Applications and Challenges
0302-9743,Machine Translation and the Lexicon
1134-5764,Top
1787-4033,Nanopages
0065-2598,"Cell Biology and Translational Medicine, Volume 4"
1226-3192,Journal of the Korean Statistical Society
2008-2967,Iranian Jornal of Toxicology
0065-2598,Trends in Biomedical Research
0097-6156,Multiphase Polymers: Blends and Ionomers
0097-6156,Nutraceutical Beverages
0027-7738,Names
0003-9330,"Archiv für OrthopÄdie, Mechanotherapie und Unfallchirurgie"
0080-1844,Macrophages
0724-6145,Digital Twins
0097-6156,Chemical Reaction Engineering—Plenary Lectures
0097-6156,Agricultural Applications in Green Chemistry
1348-7264,The Japanese Journal of Cognitive Psychology
0097-6156,Nucleotide Analogues as Antiviral Agents
1386-2588,Hydrobiologische Vereniging
0097-6156,Optical Polymers
0097-6156,Engaging Students in Physical Chemistry
1871-1340,Bridging the Methodological Divide
0929-7332,Linguistics in the Netherlands 2015
0075-8434,Combinatorial Mathematics X
2408-851X,Dhaka University Journal of Linguistics
0097-6156,Luminescence Applications
0302-9743,Intelligent Computing Theories and Applications
1865-0929,Robotic Grasping and Manipulation
0075-8434,Analyse Différentielle
0300-8932,Revista Espa de Cardiologia
0302-9743,Modeling and Retrieval of Context
0075-8434,Mathematical Models of Viscous Friction
0080-1844,Chloroplasts
0065-8987,American Jewish Year Book
0075-8434,Fonctions de Plusieurs Variables Complexes III
2442-7586,e-Journal of Linguistics
0065-2598,Current Trends in Immunity and Respiratory Infections
1752-4512,Policing: A Journal Of Policy And Practice
0075-8434,Lectures in Probability and Statistics
0857-717X,Journal of Population and Social Studies
2073-9524,Diyala Agricultural Sciences Journal
1860-949X,Intelligent Systems in Oil Field Development under Uncertainty
0302-766X,Zeitschrift für Zellforschung und mikroskopische Anatomie
0075-8434,Grassmannians and Gauss Maps in Piecewise-linear Topology
0075-8434,Stochastic Epidemic Models with Inference
0271-4132,"Hodge Theory, Complex Geometry, and Representation Theory"
0724-6145,White Biotechnology
2155-7993,Journal of Modern Education Review
1860-949X,Cooperative Robots and Sensor Networks 2014
0301-5556,The Projections to the Spinal Cord of the Rat During Development: A Timetable of Descent
0077-0892,Crevicular Fluid Updated
2202-2775,southern semiotic review
1560-9588,Russian Journal of Skin and Venereal Diseases
0043-2539,Die welt des Islams
1937-3368,Tissue Engineering Part B: Reviews
0948-3349,The International Journal of Life Cycle Assessment
0917-950X,Japanese Journal of Neurosurgery
0021-8995,Journal of Applied Polymer Science
0031-2746,Past & Present
0308-5759,Adoption & Fostering
0012-0472,DMW - Deutsche Medizinische Wochenschrift
0047-2506,Journal of International Business Studies
0937-941X,Osteoporosis International
1058-9244,Scientific Programming
2146-3123,Balkan Medical Journal
0425-1644,Equine Veterinary Journal
0003-9519,Archive for History of Exact Sciences
1932-8486,The Anatomical Record
1930-2126,BioResources
1040-9165,Diabetes Spectrum
2162-8769,ECS Journal of Solid State Science and Technology
1744-1765,International Journal of Information and Computer Security
0305-8719,"Geological Society, London, Special Publications"
1225-2042,Korean Journal of Teacher Education
0301-9233,Ironmaking & Steelmaking
0893-5785,Pigment Cell Research
0340-3696,Archiv f�r Klinische und Experimentelle Dermatologie
0303-8300,Social Indicators Research
1521-0251,"Journal of College Student Retention: Research, Theory & Practice"
0890-5495,Nineteenth-Century Contexts
1559-1662,ACM SIGMOBILE Mobile Computing and Communications Review
0013-8398,English Studies in Africa
2073-9826,Tamkang Journal of Mathematics
1673-3517,Frontiers of Forestry in China
0174-1551,Cardiovascular and Interventional Radiology
0723-4864,Experiments in Fluids
1542-0752,Birth Defects Research Part A: Clinical and Molecular Teratology
1941-8744,The Neurohospitalist
1387-5841,Methodology and Computing in Applied Probability
0167-5249,Law and Philosophy
0153-3320,Cahiers de Linguistique Asie Orientale
0373-1006,Journal of the Japanese Society of Snow and Ice
0305-7364,Annals of Botany
1366-7289,Bilingualism: Language and Cognition
0011-748X,Defence Science Journal
1064-5616,Sbornik: Mathematics
1479-2621,Plant Genetic Resources: Characterization and Utilization
1061-3773,Computer Applications in Engineering Education
0143-2095,Strategic Management Journal
1067-1927,Wound Repair and Regeneration
2278-330X,South Asian Journal of Cancer
2042-0048,Veterinary Medicine International
1254-3179,L'Expansion Management Review
2162-5786,Open Journal of Acoustics
1460-2393,QJM: An International Journal of Medicine
1092-1885,Gaming Law Review
2090-1445,Minimally Invasive Surgery
1344-4964,The Japanese Journal of Thoracic and Cardiovascular Surgery
0022-4901,Journal of Texture Studies
1756-8757,Topics in Cognitive Science
1478-5951,The International Journal of Medical Robotics and Computer Assisted Surgery
0332-1592,Peritia
1473-2254,Youth Justice
0959-2989,Bio-Medical Materials and Engineering
0278-6133,Health Psychology
1084-9467,Journal of Developmental Entrepreneurship
1475-9756,TEXTILE
1940-9044,Forensic Science Policy & Management: An International Journal
0972-2696,Global Journal of Flexible Systems Management
2320-9798,International Journal of Innovative Research in Computer and Communication Engineering
0003-4436,Annales historiques de la Révolution française
0066-5452,"Fourier Series, Fourier Transform and Their Applications to Mathematical Physics"
1435-1935,Mitteilungen aus dem Museum für Naturkunde in Berlin. Zoologische Reihe
0302-9743,"Codes, Cryptology, and Information Security"
2232-1802,Journal of International Comparative Education
2251-953X,Archives of Trauma Research
1012-5574,The Egyptian Journal of Otolaryngology
1474-8665,Autonomic and Autacoid Pharmacology
0253-4134,Journal of Chemical Sciences
0031-9155,Physics in Medicine & Biology
0097-6156,Chemical Modeling of Aqueous Systems II
1226-4873,Transactions of the Korean Society of Mechanical Engineers - A
1479-0963,Central Europe
1687-4145,EURASIP Journal on Bioinformatics and Systems Biology
1550-4832,ACM Journal on Emerging Technologies in Computing Systems
0065-2598,Gut Microbiota and Pathogenesis of Organ Injury
0065-2598,"Nutrient Regulation during Pregnancy, Lactation, and Infant Growth"
0302-9743,Conceptual Structures: From Information to Intelligence
1743-3541,"Sustainable Irrigation Management, Technologies and Policies"
1070-3535,New Economy
1344-9656,Lowland Technology International
0302-9743,"Cross-Cultural Design Methods, Practice and Impact"
1860-949X,Advanced Research in Data Privacy
0937-0633,Fresenius’ Journal of Analytical Chemistry
0075-8434,Classification of Irregular Varieties
1860-949X,Shape Understanding System
1055-615X,"Intelligent Systems in Accounting, Finance & Management"
0097-6156,Emerging Technologies in Plastics Recycling
0097-6156,"Ionic Liquids IIIB: Fundamentals, Progress, Challenges, and Opportunities"
0097-6156,Industrial Applications of Rare Earth Elements
0929-7332,Linguistics in the Netherlands 1999
0065-2598,Targeting Chitin-containing Organisms
1225-7613,Quality Improvement in Health Care
0075-8434,Séminaire de Probabilités XXV
1572-0373,Vocalize to Localize
0065-3071,Aspects of Modern Otolaryngological Practice
1946-6226,ACM Transactions on Computing Education
0097-6156,Flavor-Food Interactions
0097-6156,Computer-Assisted Organic Synthesis
2084-6118,mgrsd
0075-8434,Fourier Transforms of Invariant Functions on Finite Reductive Lie Algebras
1070-9894,"IEEE Transactions on Components, Packaging, and Manufacturing Technology: Part B"
1806-2563,Acta Scientiarum. Technology
0068-0346,Autopoiesis and Cognition
0075-8434,⊨ISILC Logic Conference
1865-0929,Big Data Innovations and Applications
1136-4890,European Journal of Anatomy
0081-3869,Excitons at High Density
0084-2230,"Human and Veterinary Nutrition, Biochemical Aspects of Nutrients"
0039-0526,Journal Of The Royal Statistical Society Series D
2035-813X,Nephrology Reviews
0067-0057,The Stars of Galileo Galilei and the Universal Knowledge of Athanasius Kircher
1907-0853,DeReMa (Development Research of Management) Jurnal Manajemen
0938-9016,Pain Digest
0946-3151,Stomatologie
0075-8434,Séminaire de Probabilités II Université de Strasbourg Mars 1967 – Octobre 1967
0144-6657,British Journal of Clinical Psychology
0025-1461,mammalia
1861-2075,Lecture Notes in Computer Science
1748-8958,Criminology and Criminal Justice
0948-6704,Zeitschrift für Gerontologie + Geriatrie
0944-1344,Environmental Science and Pollution Research
0018-5043,Hormone and Metabolic Research
2043-8206,Dialogues in Human Geography
1357-7298,Animal Science
0262-0898,Clinical & Experimental Metastasis
0303-6758,Journal of the Royal Society of New Zealand
1687-6075,Science and Technology of Nuclear Installations
0018-9383,IEEE Transactions on Electron Devices
2218-6751,Translational Lung Cancer Research
1530-6984,Nano Letters
2090-0023,Journal of Parasitology Research
0046-5070,Freshwater Biology
0031-6768,Pflügers Archiv - European Journal of Physiology
1434-6060,"The European Physical Journal D - Atomic, Molecular and Optical Physics"
1875-4791,International Journal of Social Robotics
0935-7335,Ethik in der Medizin
2047-4830,Biomater. Sci.
0367-8288,Indian Journal of Entomology
1435-5558,"Cognition, Technology & Work"
0731-7107,Child & Family Behavior Therapy
1225-7591,Journal of Korean Powder Metallurgy Institute
0011-216X,Crustaceana
0954-0253,Gender and Education
1750-6352,"Media, War & Conflict"
0075-8914,Levant
0871-018X,Revista de Ciências Agrárias
0354-7310,Arhiv za onkologiju
0179-5376,Discrete & Computational Geometry
0022-4529,Journal of Social History
1531-0353,Irrigation and Drainage
1245-2092,Psychotropes
0362-1197,Human Physiology
2473-9529,Blood Advances
1848-5197,Croatian Journal of Education - Hrvatski časopis za odgoj i obrazovanje
0267-3843,International Journal of Adolescence and Youth
0892-7014,Biofouling
2051-817X,Physiological Reports
1449-8596,Journal of Spatial Science
0003-4347,annals of telecommunications - annales des télécommunications
0393-5949,I Tatti Studies in the Italian Renaissance
0451-4203,Kanzo
1356-4765,Res Publica
1441-0745,Nursing and Health Sciences
1079-0632,Sexual Abuse: A Journal of Research and Treatment
0095-4616,Applied Mathematics and Optimization
1226-3133,The Journal of Korean Institute of Electromagnetic Engineering and Science
1755-8301,International Journal of Biometrics
1523-5882,Bilingual Research Journal
2047-7724,Pathogens and Global Health
1521-6543,IUBMB Life (International Union of Biochemistry and Molecular Biology: Life)
2398-7308,Annals of Work Exposures and Health
2050-4349,Health Services and Delivery Research
1098-6111,Police Quarterly
0350-7599,"Journal of the Geographical Institute Jovan Cvijic, SASA"
1040-8746,Current Opinion in Oncology
0045-3102,The British Journal of Social Work
0302-9743,Biosurveillance and Biosecurity
0393-9375,Human Evolution
1735-1855,Quarterly of Horizon of Medical Sciences
0075-8434,Complex Analysis
0097-6156,Cross-Linked Polymers
1028-7825,Human Reproduction & Genetic Ethics
1090-025X,"Practice Periodical of Hazardous, Toxic, and Radioactive Waste Management"
1913-1925,Canadian Young Scientist Journal
0095-7984,Journal of Black Psychology
2353-5636,Scientia et Fides
0372-5480,Veterinarski arhiv
2397-9534,Journal of Kidney Care
0302-9743,Euro-Par 2014 Parallel Processing
1043-4534,Harvard Papers in Botany
0302-9743,Learning and Collaboration Technologies. Technology-Rich Environments for Learning and Collaboration
0393-2249,Minerva Urologica e Nefrologica
2303-3460,Journal of Business and Banking
0302-9743,Mathematical Knowledge Management
1865-0929,Biomedical Informatics and Technology
1591-8890,Zeitschrift füur Die Gesamte Experimentelle Medizin
0302-9743,The Impact of Digital Technologies on Public Health in Developed and Developing Countries
1981-8610,Revista de Educação e Pesquisa em Contabilidade (REPeC)
1016-4987,Aschkenas
0021-5406,Journal of the Japanese Society of Starch Science
0065-2598,Ganglioside Function
0304-8608,Archiv f�ur die gesamte Virusforschung
1294-4475,Oil & Gas Science and Technology - Revue de l'IFP
1641-4233,International Studies. Interdisciplinary Political and Cultural Journal
0008-0624,CALCOLO
0097-6156,Microelectronics Processing: Inorganic Materials Characterization
0080-1844,Molecular Mechanisms of Cell Differentiation in Gonad Development
1865-0929,Agent Technology for Intelligent Mobile Services and Smart Societies
0302-9743,Horizons of the Mind. A Tribute to Prakash Panangaden
0929-7332,Linguistics in the Netherlands 2008
0169-121X,Mathematical Engineering in Industry
0302-5144,Acute Kidney Injury - From Diagnosis to Care
0302-9743,AI*IA 2005: Advances in Artificial Intelligence
0250-3751,"Current Genetic, Clinical and Morphologic Problems"
0302-9743,Models of Strategic Reasoning
0026-2803,Micropaleontology
0097-6156,Disposal and Decontamination of Pesticides
1877-9751,Metaphor and metonymy revisited beyond the Contemporary Theory of Metaphor
0227-5910,Crisis: The Journal of Crisis Intervention and Suicide Prevention
0070-217X,The Fungal Cell Wall
0097-6156,Host Plant Resistance to Pests
0303-6812,Journal Of Mathematical Biology
0065-2598,Regulatory Aspects of Gene Therapy and Cell Therapy Products
0724-6145,Anaerobes in Biotechnology
0075-8442,Pairwise Comparisons Method
0077-0892,The Impact of Nutrition and Diet on Oral Health
0075-8434,Nonlinear Diffusion Problems
1743-4378,Nature Clinical Practice Oncology
0212-1867,ESIC Market Economics and Business Journal
1751-942X,Journal of Arab & Muslim Media Research
0075-8434,Séminaire de Probabilités VIII Université de Strasbourg
1860-949X,Recent Metaheuristics Algorithms for Parameter Identification
1860-949X,Rough Set–Based Classification Systems
1981-6537,Terr Plural
0081-5993,Metal Complexes with Tetrapyrrole Ligands I
0962-8436,Philosophical Transactions: Biological Sciences
2311-4088,Epilepsia and paroxysmal conditions
2249-233X,Kerala Journal of Orthopaedics
1076-2787,Complexity
0022-2402,Journal of Marine Research
1065-8483,Journal of Applied Biomechanics
0033-3158,Psychopharmacology
0582-4052,Seibutsu Butsuri
0885-8195,Journal of Cancer Education
0972-8279,Journal of Maxillofacial and Oral Surgery
1873-9946,Journal of Crohn's and Colitis
0002-953X,American Journal of Psychiatry
2228-5881,Advanced Pharmaceutical Bulletin
1144-0546,New Journal of Chemistry
1387-3547,Biological Invasions
1052-7036,Foreign Policy Bulletin
1352-0504,Journal of Viral Hepatitis
0386-216X,KAGAKU KOGAKU RONBUNSHU
0268-1080,Health Policy and Planning
0017-0895,Glasgow Mathematical Journal
0263-5046,First Break
0737-1209,Public Health Nursing
0037-1939,Seminar: A Journal of Germanic Studies
1976-1902,Asian Spine Journal
1341-1667,Rigakuryoho Kagaku
0882-7508,Mineral Processing and Extractive Metallurgy Review
0262-6667,Hydrological Sciences Journal
0276-3478,International Journal of Eating Disorders
0954-5867,Cambridge Opera Journal
0268-1102,Information Technology for Development
0028-825X,New Zealand Journal of Botany
1080-6954,Journal of Chinese Political Science
1474-2640,International Journal of Constitutional Law
0307-0131,Byzantine and Modern Greek Studies
0884-1233,Journal of Teaching in Social Work
2156-342X,IEEE Transactions on Terahertz Science and Technology
1006-9291,Science in China Series B: Chemistry
1832-4274,Twin Research and Human Genetics
1832-4274,Twin Research and Human Genetics
1045-389X,Journal of Intelligent Material Systems and Structures
1533-9114,Journal of Comparative Asian Development
0812-0439,Economic Papers: A journal of applied economics and policy
0037-9085,Bulletin de la Société de pathologie exotique
0302-9743,Public-Key Cryptography -- PKC 2015
0953-8194,Journal of Neuroendocrinology
0883-2919,World Englishes
1741-0541,Personalized Medicine
2449-6162,Arterial Hypertension
1533-2845,Journal of Human Resources in Hospitality & Tourism
1233-1821,Foundations of Science
1366-2716,Industry and Innovation
0026-9247,Monatshefte für Chemie / Chemical Monthly
1225-7117,KSBB Journal
0987-1381,Quaderni
0094-4467,Southeastern Europe
2405-4518,Biosurface and Biotribology
1687-8787,International Journal of Biomaterials
1949-3045,IEEE Transactions on Affective Computing
0966-7903,Occupational Therapy International
1537-8020,Journal of Foodservice Business Research
1462-6268,Digital Creativity
1388-1973,International journal of maritime economics
1341-0725,SANGYO EISEIGAKU ZASSHI
0075-8434,"Recent Developments in the Algebraic, Analytical, and Topological Theory of Semigroups"
1755-8913,International Journal of Applied Management Science
2045-1393,International Journal of Hematologic Oncology
1385-2140,Asia Pacific Journal of Environmental Law
0391-5026,Economic Notes
2029-7203,Studies About Languages
0972-6152,Progressive Agriculture
1535-5632,Journal of the Society for the Anthropology of Europe
1551-823X,Archaeological Papers of the American Anthropological Association
1865-0929,Cloud Computing and Big Data
0021-8375,Journal of Ornithology
0065-2598,Circulating Nucleic Acids in Serum and Plasma – CNAPS IX
0075-8442,Analyse Convexe et Ses Applications
0302-9743,Databases Theory and Applications
0065-2598,Drebrin
1735-4587,Iranian Journal of Psychiatry
1865-0929,Evolving Perspectives on ICTs in Global Souths
0260-9991,Journal of Art & Design Education
0302-9743,Advances in Cryptology – EUROCRYPT 2017
1860-949X,Complex Networks & Their Applications V
0302-9743,Web and Communication Technologies and Internet-Related Social Issues - HSI 2005
1865-0929,Evolving Ambient Intelligence
1050-8414,International Journal of Aviation Psychology
1553-3174,"Synthesis and Reactivity in Inorganic, Metal-Organic, and Nano-Metal Chemistry (formerly Synthesis and Reactivity in Inorganic and Metal-Organic Chemistry)"
0070-8356,Dendroecology
0302-5144,Renal Research
2288-5862,Journal of Acute Care Surgery
1865-0929,Deep Learning for Human Activity Recognition
1947-5721,Advances in Oceanography and Limnology
0097-6156,Organoboranes for Syntheses
1932-0191,Journal of Imagery Research in Sport and Physical Activity
0097-6156,Soluble Silicates
0301-5556,Studies on the Morphology of the Sensory Regions of the Vestibular Apparatus
0097-6156,Fourier Transform Infrared Spectroscopy in Colloid and Interface Science
0097-6156,Chirality: Physical Chemistry
0081-3869,Semiclassical Approach to Mesoscopic Systems
0065-2598,Medical Science and Research
0097-6156,Thermodynamics: Second Law Analysis
0097-6156,Modern Aspects of Main Group Chemistry
0037-9409,BSGF - Earth Sciences Bulletin
0302-5144,Calcium-Regulating Hormones II
0075-8434,Advanced Numerical Approximation of Nonlinear Hyperbolic Equations
1882-532X,Japanese Journal of Environmental Infections
0075-8434,Vector Space Measures and Applications I
0075-8434,Diophantine Approximations and Diophantine Equations
0197-3150,Journal of Japanese Linguistics
0949-8257,Journal of Biological Inorganic Chemistry
0081-3869,"Springer Tracts in Modern Physics, Volume 60"
0302-9743,Artificial Intelligence: Theories and Applications
0065-2598,Emerging Sample Treatments in Proteomics
1860-949X,New Perspectives on Enterprise Decision-Making Applying Artificial Intelligence Techniques
0302-5144,Chronic Kidney Diseases - Recent Advances in Clinical and Basic Research
0075-8434,Harmonic Functions on Groups and Fourier Algebras
0724-6145,Tunable Hydrogels
0019-6673,Indiana Magazine of History
0234-5730,Hematology and Transfusiology
1548-7091,Nature Chemical Biology
1434-7229,Journal of Artificial Organs
0886-9634,CRANIO®
1011-8934,Journal of Korean Medical Science
0926-6003,Computational Optimization and Applications
0008-6568,Caries Research
0025-584X,Mathematische Nachrichten
0731-7115,Clinical Gerontologist
0002-6980,Ambix
0022-4995,Journal of the Economic and Social History of the Orient
1933-7191,Reproductive Sciences
1590-1874,Neurological Sciences
0075-8434,Analytic Functions Błażejewko 1982
0065-1036,Acta Arithmetica
1034-4810,Journal of Paediatrics and Child Health
1747-4930,International Journal of Stroke
0862-7940,Applications of Mathematics
1095-5143,Sexuality & Culture
0161-956X,Peabody Journal of Education
0004-8666,Australian and New Zealand Journal of Obstetrics and Gynaecology
0081-6906,Studia Scientiarum Mathematicarum Hungarica
0149-5739,Journal of Thermal Stresses
0255-0156,Operator Theory: Advances and Applications
1462-3730,International Journal of Mental Health Promotion
0963-0252,Plasma Sources Science and Technology
0032-3888,Polymer Engineering and Science
1862-6300,physica status solidi (a)
1527-6465,Liver Transplantation
0386-9768,The Japanese Journal of Gastroenterological Surgery
1864-5739,International Commerce Review
2312-8429,European Journal of Social Sciences Education and Research
0261-1929,Alternatives to Laboratory Animals
0047-2565,Journal of Medical Primatology
2156-3357,IEEE Journal on Emerging and Selected Topics in Circuits and Systems
0925-9392,Studies in East European Thought
1478-0488,Studies in Hispanic Cinema
0302-9743,The Semantic Web: Research and Applications
0302-9743,The Semantic Web - ISWC 2006
1385-1314,Nutrient Cycling in Agroecosystems
0895-9048,Educational Policy
0022-0620,Journal of Educational Administration and History
1560-652X,Scientific Journal of Kurdistan University of Medical Sciences
0895-9374,Advances in Dental Research
0300-9041,Ginecología y Obstetricia de México
2220-2625,Pakistan Journal of Chemistry
0197-7261,Lithic Technology
2155-9570,Journal of Clinical & Experimental Ophthalmology
1472-4790,Comparative European Politics
2179-7692,Revista de Enfermagem da UFSM
1353-4645,Parallax
1748-5673,International Journal of Data Mining and Bioinformatics
1753-3309,"International Journal of Oil, Gas and Coal Technology"
0302-9743,Computational Science and Its Applications – ICCSA 2013
0103-9733,Brazilian Journal of Physics
0013-2004,Educational Theory
1053-8135,NeuroRehabilitation
0302-9743,Autonomic Communication
1301-2193,The Turkish Journal of Endocrinology and Metabolism
1939-7038,International Journal of Sustainable Engineering
0003-4347,Annals of Telecommunications
1444-3058,Journal of Australian Studies
0031-9473,Japanese Journal of Phytopathology
1673-3401,Frontiers of History in China
1754-9957,The Journal of World Energy Law & Business
1225-7060,Journal of The Korean Society of Food Culture
0718-560X,Latin American Journal of Aquatic Research
1368-0005,Syntax
2186-3644,Intractable & Rare Diseases Research
0302-9743,Cloud Computing
0021-065X,The Writers' Workshop: A Fiftieth Anniversary Celebration
0910-6758,Japanese Journal of Water Treatment Biology
2332-2071,Mathematics and Statistics
2036-671X,FINANCIAL REPORTING
0097-6156,Carbohydrate Synthons in Natural Products Chemistry
1065-4704,Cancer Practice
0302-9743,Gesture in Human-Computer Interaction and Simulation
0075-8434,An Approach to the Selberg Trace Formula via the Selberg Zeta-Function
1865-0929,"Advancements in Automation, Robotics and Sensing"
2149-4584,Erzincan Üniversitesi Fen Bilimleri Enstitüsü Dergisi
0931-8771,Quantitative Structure-Activity Relationship
0301-5556,The Anatomical Substrate for Telencephalic Function
1433-3317,Imaging Decisions MRI
0065-1583,Acta Protozoologica
0067-0057,A Dirty Window
0075-8434,Sobolev Spaces on Riemannian Manifolds
1572-0373,"Social Cues in Robot Interaction, Trust and Acceptance"
0940-5151,Economic Quality Control
0070-217X,The Actin Cytoskeleton and Bacterial Infection
0097-6156,"Oil Shale, Tar Sands, and Related Materials"
0075-8434,Shape Theory and Geometric Topology
0743-6637,Trauma Quarterly
1865-0929,Cloud Computing and Services Sciences
0334-018X,Journal of Pediatric Endocrinology and Metabolism
0075-8434,Cabal Seminar 76–77
0080-1844,Cortical Development
0097-6156,Carotenoid Cleavage Products
0097-6156,Approaches to Automotive Emissions Control
0065-3071,Recent Concepts in ORL
0303-4216,Light Scattering in Solids VI
