Journal Title,ISSN,Reason,Journal Title Normalized,URL,Data Source,added,Remove_Date,Add_Date,reason_category
Boletim de Estudos Clássicos,0872-2110,Still in DOAJ index,boletim de estudos clássicos,https://impactum-journals.uc.pt/bec,DOAJ,1.0,1300-01-01 00:00:00,2020-06-22 00:00:00,interesting reason
Boletim de Geografia,2176-4786,Still in DOAJ index,boletim de geografia,http://www.periodicos.uem.br/ojs/index.php/BolGeogr/,DOAJ,1.0,1300-01-01 00:00:00,2017-07-15 00:00:00,interesting reason
Boletim de Indústria Animal,0067-9615,Still in DOAJ index,boletim de indústria animal,http://iz.sp.gov.br/bia/index.php/bia/index,DOAJ,1.0,1300-01-01 00:00:00,2015-09-25 00:00:00,interesting reason
Boletim de Pesquisa NELIC,1984-784X,Still in DOAJ index,boletim de pesquisa nelic,https://periodicos.ufsc.br/index.php/nelic,DOAJ,1.0,1300-01-01 00:00:00,2016-10-12 00:00:00,interesting reason
Boletim do Arquivo da Universidade de Coimbra,0872-5632,Still in DOAJ index,boletim do arquivo da universidade de coimbra,https://impactum-journals.uc.pt/boletimauc,DOAJ,1.0,1300-01-01 00:00:00,2020-06-18 00:00:00,interesting reason
Boletim do Instituto de Pesca,0046-9939,Still in DOAJ index,boletim do instituto de pesca,https://www.pesca.sp.gov.br/boletim/index.php/bip/about,DOAJ,1.0,1300-01-01 00:00:00,2019-10-19 00:00:00,interesting reason
Boletim do Museu Integrado de Roraima,2317-5206,Still in DOAJ index,boletim do museu integrado de roraima,http://uerr.edu.br/bolmirr/,DOAJ,1.0,1300-01-01 00:00:00,2016-02-24 00:00:00,interesting reason
Boletim do Museu Paraense Emílio Goeldi. Ciências Naturais,1981-8114,Still in DOAJ index,boletim do museu paraense emílio goeldi. ciências naturais,https://boletimcn.museu-goeldi.br/bcnaturais,DOAJ,1.0,1300-01-01 00:00:00,2021-07-25 00:00:00,interesting reason
Boletim do Observatório Ambiental Alberto Ribeiro Lamego,1981-6197,Still in DOAJ index,boletim do observatório ambiental alberto ribeiro lamego,http://www.essentiaeditora.iff.edu.br/index.php/boletim/,DOAJ,1.0,1300-01-01 00:00:00,2017-01-21 00:00:00,interesting reason
Boletín Americanista,0520-4100,Still in DOAJ index,boletín americanista,http://revistes.ub.edu/index.php/BoletinAmericanista/,DOAJ,1.0,1300-01-01 00:00:00,2015-10-27 00:00:00,interesting reason
Boletín Científico CIOH,0120-0542,Still in DOAJ index,boletín científico cioh,https://ojs.dimar.mil.co/index.php/CIOH,DOAJ,1.0,1300-01-01 00:00:00,2019-08-21 00:00:00,interesting reason
Boletín Cultural y Bibliográfico,0006-6184,Still in DOAJ index,boletín cultural y bibliográfico,http://publicaciones.banrepcultural.org/index.php/boletin_cultural,DOAJ,1.0,1300-01-01 00:00:00,2016-03-14 00:00:00,interesting reason
Boletín INFOMIN,1992-4194,Still in DOAJ index,boletín infomin,http://www.infomin.co.cu/index.php/i/index,DOAJ,1.0,1300-01-01 00:00:00,2019-05-23 00:00:00,interesting reason
Boletín de Ciencias de la Tierra,0120-3630,Still in DOAJ index,boletín de ciencias de la tierra,http://revistas.unal.edu.co/index.php/rbct,DOAJ,1.0,1300-01-01 00:00:00,2017-11-16 00:00:00,interesting reason
Boletín de Filología,0067-9674,Still in DOAJ index,boletín de filología,https://boletinfilologia.uchile.cl/,DOAJ,1.0,1300-01-01 00:00:00,2018-11-21 00:00:00,interesting reason
Boletín de Geología,0120-0283,Still in DOAJ index,boletín de geología,http://revistas.uis.edu.co/index.php/revistaboletindegeologia,DOAJ,1.0,1300-01-01 00:00:00,2016-01-27 00:00:00,interesting reason
Boletín de Literatura Oral,2173-0695,Still in DOAJ index,boletín de literatura oral,http://revistaselectronicas.ujaen.es/index.php/blo/index,DOAJ,1.0,1300-01-01 00:00:00,2017-04-20 00:00:00,interesting reason
Boletín de la Asociación de Geógrafos Españoles,0212-9426,Still in DOAJ index,boletín de la asociación de geógrafos españoles,https://bage.age-geografia.es/ojs,DOAJ,1.0,1300-01-01 00:00:00,2018-08-31 00:00:00,interesting reason
Boletín de la Sociedad Española de Cerámica y Vidrio,0366-3175,Still in DOAJ index,boletín de la sociedad española de cerámica y vidrio,https://www.journals.elsevier.com/boletin-de-la-sociedad-espanola-de-ceramica-y-vidrio/,DOAJ,1.0,1300-01-01 00:00:00,2017-08-17 00:00:00,interesting reason
Boletín de la Sociedad Española de Historiografía Lingüística,1695-2030,Still in DOAJ index,boletín de la sociedad española de historiografía lingüística,http://www.sehl.es/boletiacuten.html,DOAJ,1.0,1300-01-01 00:00:00,2015-09-22 00:00:00,interesting reason
Boletín de la Unión de Ornitólogos del Perú,2220-9212,Still in DOAJ index,boletín de la unión de ornitólogos del perú,https://sites.google.com/site/boletinunop/,DOAJ,1.0,1300-01-01 00:00:00,2015-09-15 00:00:00,interesting reason
Bollettino della Società Geografica Italiana,1121-7820,Still in DOAJ index,bollettino della società geografica italiana,https://riviste.fupress.net/index.php/bsgi/about,DOAJ,1.0,1300-01-01 00:00:00,2020-01-29 00:00:00,interesting reason
Bollettino della Società Italiana di Fotogrammetria e Topografia,1721-971X,Still in DOAJ index,bollettino della società italiana di fotogrammetria e topografia,https://www.sifet.org/bollettino/index.php/bollettinosifet/about,DOAJ,1.0,1300-01-01 00:00:00,2021-06-29 00:00:00,interesting reason
"Bolʹ, Sustavy, Pozvonočnik",2224-1507,Still in DOAJ index,"bolʹ, sustavy, pozvonočnik",http://pjs.zaslavsky.com.ua/,DOAJ,1.0,1300-01-01 00:00:00,2017-09-09 00:00:00,interesting reason
Bond Law Review,2202-4824,Still in DOAJ index,bond law review,https://blr.scholasticahq.com/,DOAJ,1.0,1300-01-01 00:00:00,2019-08-06 00:00:00,interesting reason
Bone & Joint Open,2633-1462,Still in DOAJ index,bone & joint open,https://online.boneandjoint.org.uk/journal/bjo,DOAJ,1.0,1300-01-01 00:00:00,2020-09-03 00:00:00,interesting reason
Bone Reports,2352-1872,Still in DOAJ index,bone reports,http://www.journals.elsevier.com/bone-reports/,DOAJ,1.0,1300-01-01 00:00:00,2015-12-08 00:00:00,interesting reason
Bone Research,2095-4700,Still in DOAJ index,bone research,http://www.nature.com/boneres/,DOAJ,1.0,1300-01-01 00:00:00,2014-11-21 00:00:00,interesting reason
Border and Regional Studies,2719-6577,Still in DOAJ index,border and regional studies,https://czasopisma.uni.opole.pl/index.php/p,DOAJ,1.0,1300-01-01 00:00:00,2021-05-04 00:00:00,interesting reason
Borderlands Journal,2652-6743,Still in DOAJ index,borderlands journal,https://www.exeley.com/journal/borderlands,DOAJ,1.0,1300-01-01 00:00:00,2021-02-11 00:00:00,interesting reason
Borderline Personality Disorder and Emotion Dysregulation,2051-6673,Still in DOAJ index,borderline personality disorder and emotion dysregulation,http://www.bpded.com,DOAJ,1.0,1300-01-01 00:00:00,2015-02-18 00:00:00,interesting reason
Borneo Journal of Pharmacy,2621-4814,Still in DOAJ index,borneo journal of pharmacy,http://journal.umpalangkaraya.ac.id/index.php/bjop,DOAJ,1.0,1300-01-01 00:00:00,2019-10-11 00:00:00,interesting reason
Borneo Journal of Resource Science and Technology,2229-9769,Still in DOAJ index,borneo journal of resource science and technology,http://www.bjrst.unimas.my,DOAJ,1.0,1300-01-01 00:00:00,2017-11-26 00:00:00,interesting reason
Borsa Istanbul Review,2214-8450,Still in DOAJ index,borsa istanbul review,http://www.journals.elsevier.com/borsa-istanbul-review/,DOAJ,1.0,1300-01-01 00:00:00,2016-05-24 00:00:00,interesting reason
Bosniaca,1512-5033,Still in DOAJ index,bosniaca,http://bosniaca.nub.ba/index.php/bosniaca/index,DOAJ,1.0,1300-01-01 00:00:00,2021-01-22 00:00:00,interesting reason
Boston Hospitality Review,2326-0351,Still in DOAJ index,boston hospitality review,,DOAJ,1.0,1300-01-01 00:00:00,2016-10-11 00:00:00,interesting reason
Botan‪ical Sciences,2007-4298,Still in DOAJ index,botan‪ical sciences,http://www.botanicalsciences.com.mx/,DOAJ,1.0,1300-01-01 00:00:00,2017-02-01 00:00:00,interesting reason
Bothalia: African Biodiversity & Conservation,0006-8241,Still in DOAJ index,bothalia: african biodiversity & conservation,http://www.abcjournal.org,DOAJ,1.0,1300-01-01 00:00:00,2015-04-16 00:00:00,interesting reason
Boğaziçi Tıp Dergisi,2149-0287,Still in DOAJ index,boğaziçi tıp dergisi,,DOAJ,1.0,1300-01-01 00:00:00,2020-09-15 00:00:00,interesting reason
Brain & NeuroRehabilitation,2383-9910,Still in DOAJ index,brain & neurorehabilitation,https://www.e-bnr.org/,DOAJ,1.0,1300-01-01 00:00:00,2021-11-04 00:00:00,interesting reason
Brain Circulation,2455-4626,Still in DOAJ index,brain circulation,http://www.braincirculation.org/,DOAJ,1.0,1300-01-01 00:00:00,2017-02-07 00:00:00,interesting reason
Brain Communications,2632-1297,Still in DOAJ index,brain communications,https://academic.oup.com/braincomms,DOAJ,1.0,1300-01-01 00:00:00,2020-04-24 00:00:00,interesting reason
Brain Informatics,2198-4026,Still in DOAJ index,brain informatics,http://www.springer.com/40708,DOAJ,1.0,1300-01-01 00:00:00,2017-10-10 00:00:00,interesting reason
Brain Multiphysics,2666-5220,Still in DOAJ index,brain multiphysics,https://www.journals.elsevier.com/brain-multiphysics,DOAJ,1.0,1300-01-01 00:00:00,2021-03-11 00:00:00,interesting reason
Brain Pathology,1750-3639,Still in DOAJ index,brain pathology,https://onlinelibrary.wiley.com/journal/17503639,DOAJ,1.0,1300-01-01 00:00:00,2021-06-02 00:00:00,interesting reason
Brain Science Advances,2096-5958,Still in DOAJ index,brain science advances,https://journals.sagepub.com/home/bsa,DOAJ,1.0,1300-01-01 00:00:00,2020-11-18 00:00:00,interesting reason
Brain Stimulation,1935-861X,Still in DOAJ index,brain stimulation,https://www.journals.elsevier.com/brain-stimulation,DOAJ,1.0,1300-01-01 00:00:00,2021-02-23 00:00:00,interesting reason
Brain and Neuroscience Advances,2398-2128,Still in DOAJ index,brain and neuroscience advances,https://journals.sagepub.com/home/bna,DOAJ,1.0,1300-01-01 00:00:00,2020-10-19 00:00:00,interesting reason
Brain and Spine,2772-5294,Still in DOAJ index,brain and spine,,DOAJ,1.0,1300-01-01 00:00:00,2021-12-01 00:00:00,interesting reason
"Brain, Behavior, & Immunity - Health",2666-3546,Still in DOAJ index,"brain, behavior, & immunity - health",https://www.journals.elsevier.com/brain-behavior-and-immunity-health,DOAJ,1.0,1300-01-01 00:00:00,2021-04-20 00:00:00,interesting reason
Bratislava Law Review,2644-6359,Still in DOAJ index,bratislava law review,https://blr.flaw.uniba.sk,DOAJ,1.0,1300-01-01 00:00:00,2020-04-29 00:00:00,interesting reason
Brawijaya Law Journal,2356-4512,Still in DOAJ index,brawijaya law journal,http://lawjournal.ub.ac.id/index.php/law,DOAJ,1.0,1300-01-01 00:00:00,2017-04-19 00:00:00,interesting reason
Brazilian Dental Science,2178-6011,Still in DOAJ index,brazilian dental science,http://bds.ict.unesp.br/,DOAJ,1.0,1300-01-01 00:00:00,2017-11-28 00:00:00,interesting reason
Brazilian Journal of African Studies,2448-3915,Still in DOAJ index,brazilian journal of african studies,http://www.seer.ufrgs.br/rbea,DOAJ,1.0,1300-01-01 00:00:00,2017-07-29 00:00:00,interesting reason
Brazilian Journal of Anesthesiology,0104-0014,Still in DOAJ index,brazilian journal of anesthesiology,https://www.journals.elsevier.com/brazilian-journal-of-anesthesiology-english-edition/,DOAJ,1.0,1300-01-01 00:00:00,2018-03-21 00:00:00,interesting reason
Brazilian Journal of Development,2525-8761,Still in DOAJ index,brazilian journal of development,,DOAJ,1.0,1300-01-01 00:00:00,2017-06-09 00:00:00,interesting reason
Brazilian Journal of Empirical Legal Studies,2319-0817,Still in DOAJ index,brazilian journal of empirical legal studies,http://reedrevista.org,DOAJ,1.0,1300-01-01 00:00:00,2015-11-25 00:00:00,interesting reason
"Brazilian Journal of Forensic Sciences, Medical Law and Bioethics",2237-261X,Still in DOAJ index,"brazilian journal of forensic sciences, medical law and bioethics",http://www.ipebj.com.br/forensicjournal,DOAJ,1.0,1300-01-01 00:00:00,2015-07-21 00:00:00,interesting reason
Brazilian Journal of Geology,2317-4889,Still in DOAJ index,brazilian journal of geology,http://www.scielo.br/scielo.php?script=sci_serial&pid=2317-4889&lng=en&nrm=iso,DOAJ,1.0,1300-01-01 00:00:00,2017-01-19 00:00:00,interesting reason
Brazilian Journal of Information Science,1981-1640,Still in DOAJ index,brazilian journal of information science,https://revistas.marilia.unesp.br/index.php/bjis/index,DOAJ,1.0,1300-01-01 00:00:00,2020-03-13 00:00:00,interesting reason
Brazilian Journal of Medicine and Human Health,2317-3386,Still in DOAJ index,brazilian journal of medicine and human health,,DOAJ,1.0,1300-01-01 00:00:00,2016-02-17 00:00:00,interesting reason
Brazilian Journal of Natural Sciences,2595-0584,Still in DOAJ index,brazilian journal of natural sciences,https://bjns.com.br,DOAJ,1.0,1300-01-01 00:00:00,2020-03-02 00:00:00,interesting reason
Brazilian Journal of Operations & Production Management,2237-8960,Still in DOAJ index,brazilian journal of operations & production management,https://bjopm.emnuvens.com.br/bjopm,DOAJ,1.0,1300-01-01 00:00:00,2019-04-02 00:00:00,interesting reason
Brazilian Journal of Oral Sciences,1677-3217,Still in DOAJ index,brazilian journal of oral sciences,https://periodicos.sbu.unicamp.br/ojs/index.php/bjos,DOAJ,1.0,1300-01-01 00:00:00,2021-02-08 00:00:00,interesting reason
Brazilian Journal of Physical Therapy,1809-9246,Still in DOAJ index,brazilian journal of physical therapy,,DOAJ,1.0,1300-01-01 00:00:00,2020-02-17 00:00:00,interesting reason
Brazilian Journal of Science and Technology,2196-288X,Still in DOAJ index,brazilian journal of science and technology,,DOAJ,1.0,1300-01-01 00:00:00,2015-12-11 00:00:00,interesting reason
Brazilian Journal of Veterinary Medicine,0100-2430,Still in DOAJ index,brazilian journal of veterinary medicine,http://rbmv.org/index.php/BJVM,DOAJ,1.0,1300-01-01 00:00:00,2018-01-19 00:00:00,interesting reason
Brazilian Journalism Research,1981-9854,Still in DOAJ index,brazilian journalism research,http://bjr.sbpjor.org.br/,DOAJ,1.0,1300-01-01 00:00:00,2017-09-13 00:00:00,interesting reason
Brazilian Neurosurgery,0103-5355,Still in DOAJ index,brazilian neurosurgery,https://doi.org/10.1055/s-00028832,DOAJ,1.0,1300-01-01 00:00:00,2016-03-31 00:00:00,interesting reason
Breast,1532-3080,Still in DOAJ index,breast,https://www.journals.elsevier.com/the-breast,DOAJ,1.0,1300-01-01 00:00:00,2020-09-25 00:00:00,interesting reason
Breast Cancer Management,1758-1931,Still in DOAJ index,breast cancer management,https://www.futuremedicine.com/journal/bmt/,DOAJ,1.0,1300-01-01 00:00:00,2018-09-10 00:00:00,interesting reason
Breast Cancer Research,1465-5411,Still in DOAJ index,breast cancer research,http://www.breast-cancer-research.com/,DOAJ,1.0,1300-01-01 00:00:00,2015-12-02 00:00:00,interesting reason
Breathe,1810-6838,Still in DOAJ index,breathe,https://breathe.ersjournals.com/,DOAJ,1.0,1300-01-01 00:00:00,2015-02-18 00:00:00,interesting reason
Brikolase,2622-0652,Still in DOAJ index,brikolase,https://jurnal.isi-ska.ac.id/index.php/brikolase,DOAJ,1.0,1300-01-01 00:00:00,2019-05-11 00:00:00,interesting reason
Briliant,2541-4216,Still in DOAJ index,briliant,http://jurnal.unublitar.ac.id/index.php/briliant,DOAJ,1.0,1300-01-01 00:00:00,2017-08-18 00:00:00,interesting reason
British Art Studies,2058-5462,Still in DOAJ index,british art studies,http://www.britishartstudies.ac.uk,DOAJ,1.0,1300-01-01 00:00:00,2017-02-03 00:00:00,interesting reason
British Journal for Military History,2057-0422,Still in DOAJ index,british journal for military history,https://bjmh.gold.ac.uk,DOAJ,1.0,1300-01-01 00:00:00,2021-05-14 00:00:00,interesting reason
British Journal of American Legal Studies,2049-4092,Still in DOAJ index,british journal of american legal studies,https://www.degruyter.com/view/j/bjals,DOAJ,1.0,1300-01-01 00:00:00,2017-10-13 00:00:00,interesting reason
British Journal of Virology,2055-6128,Still in DOAJ index,british journal of virology,,DOAJ,1.0,1300-01-01 00:00:00,2015-02-27 00:00:00,interesting reason
British and American Studies,1224-3086,Still in DOAJ index,british and american studies,http://www.litere.uvt.ro/publicatii/BAS/index.htm,DOAJ,1.0,1300-01-01 00:00:00,2016-12-13 00:00:00,interesting reason
British and Irish Orthoptic Journal,2516-3590,Still in DOAJ index,british and irish orthoptic journal,https://www.bioj-online.com/,DOAJ,1.0,1300-01-01 00:00:00,2019-07-03 00:00:00,interesting reason
Brocar. Cuadernos de investigación histórica,1885-8309,Still in DOAJ index,brocar. cuadernos de investigación histórica,https://publicaciones.unirioja.es/revistas/brocar,DOAJ,1.0,1300-01-01 00:00:00,2017-11-20 00:00:00,interesting reason
Brock Education: a Journal of Educational Research and Practice,1183-1189,Still in DOAJ index,brock education: a journal of educational research and practice,https://journals.library.brocku.ca/brocked/index.php/home,DOAJ,1.0,1300-01-01 00:00:00,2017-07-17 00:00:00,interesting reason
Brodogradnja,0007-215X,Still in DOAJ index,brodogradnja,http://www.fsb.hr/brodogradnja,DOAJ,1.0,1300-01-01 00:00:00,2015-06-21 00:00:00,interesting reason
Brumal: Revista de Investigación sobre lo Fantástico,2014-7910,Still in DOAJ index,brumal: revista de investigación sobre lo fantástico,http://revistes.uab.cat/brumal/,DOAJ,1.0,1300-01-01 00:00:00,2014-07-24 00:00:00,interesting reason
Bryn Mawr Classical Review,1055-7660,Still in DOAJ index,bryn mawr classical review,,DOAJ,1.0,1300-01-01 00:00:00,2015-03-08 00:00:00,interesting reason
Bucovina Forestieră,1582-0769,Still in DOAJ index,bucovina forestieră,http://www.bucovina-forestiera.ro/,DOAJ,1.0,1300-01-01 00:00:00,2015-08-21 00:00:00,interesting reason
Budownictwo i Architektura,1899-0665,Still in DOAJ index,budownictwo i architektura,https://ph.pollub.pl/index.php/bia,DOAJ,1.0,1300-01-01 00:00:00,2018-01-22 00:00:00,interesting reason
Budownictwo o Zoptymalizowanym Potencjale Energetycznym,2299-8535,Still in DOAJ index,budownictwo o zoptymalizowanym potencjale energetycznym,http://www.bozpe.bud.pcz.pl/,DOAJ,1.0,1300-01-01 00:00:00,2019-02-12 00:00:00,interesting reason
Buhalterinės Apskaitos Teorija ir Praktika,1822-8682,Still in DOAJ index,buhalterinės apskaitos teorija ir praktika,http://www.journals.vu.lt/BATP/,DOAJ,1.0,1300-01-01 00:00:00,2019-07-21 00:00:00,interesting reason
Building & Management,2530-8157,Still in DOAJ index,building & management,http://polired.upm.es/index.php/building_management,DOAJ,1.0,1300-01-01 00:00:00,2017-12-28 00:00:00,interesting reason
Building Healthy Academic Communities Journal,2573-7643,Still in DOAJ index,building healthy academic communities journal,https://library.osu.edu/ojs/index.php/BHAC,DOAJ,1.0,1300-01-01 00:00:00,2018-04-24 00:00:00,interesting reason
Building Research Journal,1339-682X,Still in DOAJ index,building research journal,http://www.degruyter.com/view/j/brj,DOAJ,1.0,1300-01-01 00:00:00,2015-06-07 00:00:00,interesting reason
Buildings & Cities,2632-6655,Still in DOAJ index,buildings & cities,,DOAJ,1.0,1300-01-01 00:00:00,2020-09-02 00:00:00,interesting reason
Built Heritage,2662-6802,Still in DOAJ index,built heritage,https://built-heritage.springeropen.com,DOAJ,1.0,1300-01-01 00:00:00,2020-06-12 00:00:00,interesting reason
Buletin Agroteknologi,2722-7235,Still in DOAJ index,buletin agroteknologi,https://journals.unihaz.ac.id/index.php/bulgro,DOAJ,1.0,1300-01-01 00:00:00,2020-10-19 00:00:00,interesting reason
Buletin Al-Turas,0853-1692,Still in DOAJ index,buletin al-turas,http://journal.uinjkt.ac.id/index.php/al-turats,DOAJ,1.0,1300-01-01 00:00:00,2020-04-04 00:00:00,interesting reason
Buletin Fisika,1411-4690,Still in DOAJ index,buletin fisika,https://ojs.unud.ac.id/index.php/buletinfisika,DOAJ,1.0,1300-01-01 00:00:00,2018-04-03 00:00:00,interesting reason
Buletin Kebun Raya,0125-961X,Still in DOAJ index,buletin kebun raya,,DOAJ,1.0,1300-01-01 00:00:00,2015-11-03 00:00:00,interesting reason
Buletin Penelitian Tanaman Rempah dan Obat,2527-4414,Still in DOAJ index,buletin penelitian tanaman rempah dan obat,http://ejurnal.litbang.pertanian.go.id/index.php/bultro,DOAJ,1.0,1300-01-01 00:00:00,2018-05-02 00:00:00,interesting reason
Buletin Pos dan Telekomunikasi: Media Komunikasi Ilmiah,1693-0991,Still in DOAJ index,buletin pos dan telekomunikasi: media komunikasi ilmiah,http://online.bpostel.com,DOAJ,1.0,1300-01-01 00:00:00,2016-03-16 00:00:00,interesting reason
Buletin Psikologi,0854-7106,Still in DOAJ index,buletin psikologi,http://jurnal.ugm.ac.id/buletinpsikologi,DOAJ,1.0,1300-01-01 00:00:00,2016-12-14 00:00:00,interesting reason
Buletin Studi Ekonomi,1410-4628,Still in DOAJ index,buletin studi ekonomi,http://ojs.unud.ac.id/index.php/bse,DOAJ,1.0,1300-01-01 00:00:00,2016-10-07 00:00:00,interesting reason
Buletin Veteriner Udayana,2085-2495,Still in DOAJ index,buletin veteriner udayana,http://ojs.unud.ac.id/index.php/buletinvet,DOAJ,1.0,1300-01-01 00:00:00,2016-02-23 00:00:00,interesting reason
Buletinul Cercurilor Științifice Studențești,1454-8097,Still in DOAJ index,buletinul cercurilor științifice studențești,http://diam.uab.ro/index.php?s=8&p=47,DOAJ,1.0,1300-01-01 00:00:00,2017-12-18 00:00:00,interesting reason
Buletinul Ştiinţific al Academiei Trupelor de Uscat,1224-5178,Still in DOAJ index,buletinul ştiinţific al academiei trupelor de uscat,https://www.degruyter.com/view/j/bsaft,DOAJ,1.0,1300-01-01 00:00:00,2017-01-04 00:00:00,interesting reason
Buletinul Științific al Universității de Stat „B.P. Hasdeu” din Cahul: Științe Sociale,2345-1858,Still in DOAJ index,buletinul științific al universității de stat „b.p. hasdeu” din cahul: științe sociale,http://jss.usch.md/,DOAJ,1.0,1300-01-01 00:00:00,2020-08-05 00:00:00,interesting reason
Bulgarian Journal of Soil Science,2534-8787,Still in DOAJ index,bulgarian journal of soil science,http://www.bsss.bg/Journal.html,DOAJ,1.0,1300-01-01 00:00:00,2019-07-30 00:00:00,interesting reason
Bulgarian Journal of Veterinary Medicine,1311-1477,Still in DOAJ index,bulgarian journal of veterinary medicine,http://tru.uni-sz.bg/bjvm/index.html,DOAJ,1.0,1300-01-01 00:00:00,2017-05-05 00:00:00,interesting reason
Bulletin Ekonomi Moneter dan Perbankan,1410-8046,Still in DOAJ index,bulletin ekonomi moneter dan perbankan,https://www.bmeb-bi.org/index.php/BEMP,DOAJ,1.0,1300-01-01 00:00:00,2017-09-19 00:00:00,interesting reason
Bulletin KNOB,2589-3343,Still in DOAJ index,bulletin knob,http://bulletin.knob.nl,DOAJ,1.0,1300-01-01 00:00:00,2018-05-29 00:00:00,interesting reason
Bulletin Social-Economic and Humanitarian Research,2658-5561,Still in DOAJ index,bulletin social-economic and humanitarian research,,DOAJ,1.0,1300-01-01 00:00:00,2020-02-23 00:00:00,interesting reason
Bulletin de l'Institut Français d'Études Andines,0303-7495,Still in DOAJ index,bulletin de l'institut français d'études andines,http://bifea.revues.org,DOAJ,1.0,1300-01-01 00:00:00,2017-06-02 00:00:00,interesting reason
Bulletin de la Dialyse à Domicile,2607-9917,Still in DOAJ index,bulletin de la dialyse à domicile,https://www.bdd.rdplf.org,DOAJ,1.0,1300-01-01 00:00:00,2019-11-24 00:00:00,interesting reason
Bulletin de la Société Géographique de Liège,0770-7576,Still in DOAJ index,bulletin de la société géographique de liège,http://www.bsglg.be,DOAJ,1.0,1300-01-01 00:00:00,2020-08-31 00:00:00,interesting reason
Bulletin of Chemical Reaction Engineering & Catalysis,1978-2993,Still in DOAJ index,bulletin of chemical reaction engineering & catalysis,http://ejournal.undip.ac.id/index.php/bcrec,DOAJ,1.0,1300-01-01 00:00:00,2015-03-30 00:00:00,interesting reason
Bulletin of Computational Applied Mathematics,2244-8659,Still in DOAJ index,bulletin of computational applied mathematics,http://www.compama.co.usb.ve/,DOAJ,1.0,1300-01-01 00:00:00,2017-11-29 00:00:00,interesting reason
Bulletin of Counseling and Psychotherapy,2656-1050,Still in DOAJ index,bulletin of counseling and psychotherapy,https://journal.kurasinstitute.com/index.php/bocp,DOAJ,1.0,1300-01-01 00:00:00,2020-08-03 00:00:00,interesting reason
Bulletin of Educational Research,1028-8708,Still in DOAJ index,bulletin of educational research,http://www.edubook.com.tw/OATw/home.aspx?no=1097,DOAJ,1.0,1300-01-01 00:00:00,2015-07-20 00:00:00,interesting reason
Bulletin of Environmental Studies,2414-8121,Still in DOAJ index,bulletin of environmental studies,,DOAJ,1.0,1300-01-01 00:00:00,2016-09-16 00:00:00,interesting reason
"Bulletin of Faculty of Pharmacy, Cairo University",1110-0931,Still in DOAJ index,"bulletin of faculty of pharmacy, cairo university",,DOAJ,1.0,1300-01-01 00:00:00,2017-01-09 00:00:00,interesting reason
Bulletin of Faculty of Physical Therapy,2536-9660,Still in DOAJ index,bulletin of faculty of physical therapy,https://bfpt.springeropen.com/,DOAJ,1.0,1300-01-01 00:00:00,2020-10-26 00:00:00,interesting reason
Bulletin of Integrative Psychiatry,1453-7257,Still in DOAJ index,bulletin of integrative psychiatry,,DOAJ,1.0,1300-01-01 00:00:00,2015-08-10 00:00:00,interesting reason
Bulletin of Natural Sciences Research,2738-1013,Still in DOAJ index,bulletin of natural sciences research,https://scindeks.ceon.rs/journalDetails.aspx?issn=2738-0971&lang=en,DOAJ,1.0,1300-01-01 00:00:00,2021-02-05 00:00:00,interesting reason
Bulletin of Regional Natural History,2724-4393,Still in DOAJ index,bulletin of regional natural history,http://www.serena.unina.it/index.php/bornh/about,DOAJ,1.0,1300-01-01 00:00:00,2021-08-15 00:00:00,interesting reason
Bulletin of Social Informatics Theory and Application,2614-0047,Still in DOAJ index,bulletin of social informatics theory and application,https://pubs.ascee.org/index.php/businta/index,DOAJ,1.0,1300-01-01 00:00:00,2019-04-19 00:00:00,interesting reason
Bulletin of University of Agricultural Sciences and Veterinary Medicine Cluj-Napoca: Food Science and Technology,2344-2344,Still in DOAJ index,bulletin of university of agricultural sciences and veterinary medicine cluj-napoca: food science and technology,http://journals.usamvcluj.ro/index.php/fst/index,DOAJ,1.0,1300-01-01 00:00:00,2014-09-22 00:00:00,interesting reason
Bulletin of the International Association for Paleodontology,1846-6273,Still in DOAJ index,bulletin of the international association for paleodontology,http://hrcak.srce.hr/paleodontology,DOAJ,1.0,1300-01-01 00:00:00,2017-08-22 00:00:00,interesting reason
Bulletin of the Iraq Natural History Museum,1017-8678,Still in DOAJ index,bulletin of the iraq natural history museum,http://jnhm.uobaghdad.edu.iq/index.php/BINHM/,DOAJ,1.0,1300-01-01 00:00:00,2020-08-19 00:00:00,interesting reason
Bulletin of the Marine Geology,1410-6175,Still in DOAJ index,bulletin of the marine geology,http://ejournal.mgi.esdm.go.id/index.php/bomg,DOAJ,1.0,1300-01-01 00:00:00,2017-07-06 00:00:00,interesting reason
Bulletin of the Mineral Research and Exploration,0026-4563,Still in DOAJ index,bulletin of the mineral research and exploration,http://dergi.mta.gov.tr/index.php,DOAJ,1.0,1300-01-01 00:00:00,2018-03-19 00:00:00,interesting reason
Bulletin of the National Research Centre,2522-8307,Still in DOAJ index,bulletin of the national research centre,https://bnrc.springeropen.com,DOAJ,1.0,1300-01-01 00:00:00,2018-12-03 00:00:00,interesting reason
Bulletin of the Section of Logic,0138-0680,Still in DOAJ index,bulletin of the section of logic,https://czasopisma.uni.lodz.pl/bulletin,DOAJ,1.0,1300-01-01 00:00:00,2020-03-03 00:00:00,interesting reason
