,Journal_Title_Normalized,added,Journal Title,ISSN,Remove_Date,Add_Date,Reason,Data Source,URL,reason_category
2360,decision analytics journal,True,Decision Analytics Journal,2772-6622,1677-09-22,2022-01-13,Still in DOAJ index,DOAJ,https://www.journals.elsevier.com/decision-analytics-journal,interesting reason
2361,decision making: applications in management and engineering,True,Decision Making: Applications in Management and Engineering,2560-6018,1677-09-22,2018-09-17,Still in DOAJ index,DOAJ,https://dmame.rabek.org/index.php/dmame,interesting reason
2362,decyzje,True,Decyzje,2391-761X,1677-09-22,2018-06-07,Still in DOAJ index,DOAJ,https://journal.kozminski.edu.pl/index.php/decyzje/index,interesting reason
2363,dedica,True,DEDiCA,2182-0171,1677-09-22,2018-12-17,Still in DOAJ index,DOAJ,http://revistaseug.ugr.es/index.php/dedica/index,interesting reason
2364,defence science review,True,Defence Science Review,2719-6763,1677-09-22,2021-10-22,Still in DOAJ index,DOAJ,http://www.defencesciencereview.com.pl/,interesting reason
2365,defence technology,True,Defence Technology,2214-9147,1677-09-22,2015-11-18,Still in DOAJ index,DOAJ,http://www.keaipublishing.com/en/journals/defence-technology/,interesting reason
2366,del prudente saber y el máximo posible de sabor,True,Del Prudente Saber y el Máximo Posible de Sabor,1515-3576,1677-09-22,2020-11-05,Still in DOAJ index,DOAJ,http://pcient.uner.edu.ar/dps,interesting reason
2367,delictae: revista de estudos interdisciplinares sobre o delito,True,Delictae: Revista de Estudos Interdisciplinares sobre o Delito,2526-5644,1677-09-22,2017-08-14,Still in DOAJ index,DOAJ,http://delictae.com.br/index.php/revista,interesting reason
2368,delito y sociedad: revista de ciencias sociales,True,Delito y Sociedad: Revista de Ciencias Sociales,0328-0101,1677-09-22,2019-12-05,Still in DOAJ index,DOAJ,https://bibliotecavirtual.unl.edu.ar/publicaciones/index.php/DelitoYSociedad/index,interesting reason
2369,delta journal of ophthalmology,True,Delta Journal of Ophthalmology,2090-4835,1677-09-22,2021-09-08,Still in DOAJ index,DOAJ,https://www.djo.eg.net/,interesting reason
2370,dementia & neuropsychologia,True,Dementia & Neuropsychologia,1980-5764,1677-09-22,2016-10-13,Still in DOAJ index,DOAJ,http://www.scielo.br/scielo.php?script=sci_serial&pid=1980-5764&lng=en&nrm=iso,interesting reason
2371,democracia digital e governo eletrônico,True,Democracia Digital e Governo Eletrônico,2175-9391,1677-09-22,2015-09-21,Still in DOAJ index,DOAJ,http://buscalegis.ufsc.br/revistas/index.php/observatoriodoegov/index,interesting reason
2372,democratic theory,True,Democratic Theory,2332-8908,1677-09-22,2022-03-15,Still in DOAJ index,DOAJ,https://www.berghahnjournals.com/view/journals/democratic-theory/democratic-theory-overview.xml,interesting reason
2373,democrazia e diritti sociali,True,Democrazia e Diritti Sociali,2610-9166,1677-09-22,2019-11-20,Still in DOAJ index,DOAJ,https://www.democraziaedirittisociali.it/,interesting reason
2374,demonstratio mathematica,True,Demonstratio Mathematica,2391-4661,1677-09-22,2014-12-14,Still in DOAJ index,DOAJ,https://www.degruyter.com/journal/key/dema/html,interesting reason
2375,den open,True,DEN Open,2692-4609,1677-09-22,2021-09-30,Still in DOAJ index,DOAJ,https://onlinelibrary.wiley.com/journal/26924609,interesting reason
2376,denarius,True,Denarius,2448-5403,1677-09-22,2021-03-25,Still in DOAJ index,DOAJ,https://denarius.izt.uam.mx/index.php/denarius,interesting reason
2377,dental and medical problems,True,Dental and Medical Problems,1644-387X,1677-09-22,2019-03-19,Still in DOAJ index,DOAJ,http://www.dmp.umed.wroc.pl/en/home/,interesting reason
2378,dental anthropology,True,Dental Anthropology,1096-9411,1677-09-22,2021-08-13,Still in DOAJ index,DOAJ,http://journal.dentalanthropology.org/index.php/jda,interesting reason
2379,dentino jurnal kedokteran gigi,True,Dentino Jurnal Kedokteran Gigi,2337-5310,1677-09-22,2016-10-27,Still in DOAJ index,DOAJ,http://ppjp.unlam.ac.id/journal/index.php/dentino,interesting reason
2380,dentistry 3000,True,Dentistry 3000,2167-8677,1677-09-22,2016-05-01,Still in DOAJ index,DOAJ,http://dentistry3000.pitt.edu,interesting reason
2381,dentistry and medical research,True,Dentistry and Medical Research,2348-1471,1677-09-22,2018-10-12,Still in DOAJ index,DOAJ,http://www.dmrjournal.org/,interesting reason
2382,dentistry review,True,Dentistry Review,2772-5596,1677-09-22,2022-04-11,Still in DOAJ index,DOAJ,https://www.journals.elsevier.com/dentistry-review,interesting reason
2383,dependence modeling,True,Dependence Modeling,2300-2298,1677-09-22,2015-01-17,Still in DOAJ index,DOAJ,https://www.degruyter.com/journal/key/demo/html,interesting reason
2384,deporvida,True,DeporVida,1819-4028,1677-09-22,2022-05-19,Still in DOAJ index,DOAJ,https://deporvida.uho.edu.cu/index.php/deporvida/index,interesting reason
2385,der öffentliche sektor,True,Der öffentliche Sektor,1563-4604,1677-09-22,2017-11-26,Still in DOAJ index,DOAJ,http://oes.tuwien.ac.at/,interesting reason
2386,derecho & sociedad,True,Derecho & Sociedad,2079-3634,1677-09-22,2021-02-03,Still in DOAJ index,DOAJ,http://revistas.pucp.edu.pe/index.php/derechoysociedad,interesting reason
2387,derecho animal,True,Derecho Animal,2462-7518,1677-09-22,2019-02-02,Still in DOAJ index,DOAJ,https://revistes.uab.cat/da/index,interesting reason
2388,derema (development research of management): jurnal manajemen,True,DeReMa (Development Research of Management): Jurnal Manajemen,1907-0853,1677-09-22,2016-06-02,Still in DOAJ index,DOAJ,http://ojs.uph.edu/index.php/DJM,interesting reason
2389,derim,True,Derim,1300-3496,1677-09-22,2015-06-22,Still in DOAJ index,DOAJ,http://www.derim.com.tr,interesting reason
2390,derivatif,True,Derivatif,1978-6573,1677-09-22,2017-10-09,Still in DOAJ index,DOAJ,http://fe.ummetro.ac.id/ejournal/index.php/JM,interesting reason
2391,dermatology online journal,True,Dermatology Online Journal,1087-2108,1677-09-22,2018-10-03,Still in DOAJ index,DOAJ,http://dermjournal.org,interesting reason
2392,dermatology practical & conceptual,True,Dermatology Practical & Conceptual,2160-9381,1677-09-22,2021-10-22,Still in DOAJ index,DOAJ,https://dpcj.org/index.php/dpc,interesting reason
2393,dermatopathology,True,Dermatopathology,2296-3529,1677-09-22,2016-07-26,Still in DOAJ index,DOAJ,https://www.mdpi.com/journal/dermatopathology,interesting reason
2394,desafios,True,Desafios,2359-3652,1677-09-22,2017-06-01,Still in DOAJ index,DOAJ,https://sistemas2.uft.edu.br:8004/index.php/desafios,interesting reason
2395,desafíos,True,Desafíos,0124-4035,1677-09-22,2015-09-14,Still in DOAJ index,DOAJ,http://revistas.urosario.edu.co/index.php/desafios/,interesting reason
2396,desarrollo gerencial,True,Desarrollo Gerencial,2145-5147,1677-09-22,2020-05-19,Still in DOAJ index,DOAJ,http://revistas.unisimon.edu.co/index.php/desarrollogerencial,interesting reason
2397,desarrollo y sociedad,True,Desarrollo y Sociedad,0120-3584,1677-09-22,2020-08-21,Still in DOAJ index,DOAJ,https://revistas.uniandes.edu.co/journal/dys,interesting reason
2398,desde el sur,True,Desde El Sur,2076-2674,1677-09-22,2019-04-28,Still in DOAJ index,DOAJ,http://revistas.cientifica.edu.pe/index.php/desdeelsur/,interesting reason
2399,desert,True,Desert,2345-475X,1677-09-22,2016-10-21,Still in DOAJ index,DOAJ,https://jdesert.ut.ac.ir/,interesting reason
2400,desidades,True,Desidades,2318-9282,1677-09-22,2018-03-18,Still in DOAJ index,DOAJ,https://revistas.ufrj.br/index.php/desidades/index,interesting reason
2401,design e tecnologia,True,Design e Tecnologia,2178-1974,1677-09-22,2017-04-12,Still in DOAJ index,DOAJ,https://www.ufrgs.br/det/index.php/det/index,interesting reason
2402,design science,True,Design Science,2053-4701,1677-09-22,2017-09-17,Still in DOAJ index,DOAJ,http://journals.cambridge.org/action/displayJournal?jid=DSJ,interesting reason
2403,designed monomers and polymers,True,Designed Monomers and Polymers,1568-5551,1677-09-22,2017-09-04,Still in DOAJ index,DOAJ,https://www.tandfonline.com/toc/tdmp20/current,interesting reason
2404,designio. investigación en diseño gráfico y estudios de la imagen,True,Designio. Investigación en Diseño Gráfico y Estudios de la Imagen,2665-6728,1677-09-22,2020-10-29,Still in DOAJ index,DOAJ,https://cipres.sanmateo.edu.co/ojs/index.php/designio,interesting reason
2405,designis,True,deSignis,2462-7259,1677-09-22,2020-04-23,Still in DOAJ index,DOAJ,http://www.designisfels.net/,interesting reason
2406,designs,True,Designs,2411-9660,1677-09-22,2018-07-31,Still in DOAJ index,DOAJ,http://www.mdpi.com/journal/designs,interesting reason
2407,designs for learning,True,Designs for Learning,2001-7480,1677-09-22,2016-10-30,Still in DOAJ index,DOAJ,http://www.designsforlearning.nu/,interesting reason
2408,desimal,True,Desimal,2613-9081,1677-09-22,2019-10-01,Still in DOAJ index,DOAJ,http://ejournal.radenintan.ac.id/index.php/desimal/index,interesting reason
2409,detritus,True,Detritus,2611-4127,1677-09-22,2020-01-30,Still in DOAJ index,DOAJ,https://detritusjournal.com,interesting reason
2410,detskie infekcii (moskva),True,Detskie Infekcii (Moskva),2072-8107,1677-09-22,2016-12-15,Still in DOAJ index,DOAJ,http://detinf.elpub.ru/,interesting reason
2411,deturope,True,DETUROPE,1821-2506,1677-09-22,2015-03-08,Still in DOAJ index,DOAJ,http://www.deturope.eu,interesting reason
2412,deusto journal of human rights,True,Deusto Journal of Human Rights,2530-4275,1677-09-22,2018-10-22,Still in DOAJ index,DOAJ,http://revista-derechoshumanos.revistas.deusto.es,interesting reason
2413,deutsche entomologische zeitschrift,True,Deutsche Entomologische Zeitschrift,1435-1951,1677-09-22,2015-08-26,Still in DOAJ index,DOAJ,http://dez.pensoft.net/,interesting reason
2414,deutsche zeitschrift für sportmedizin,True,Deutsche Zeitschrift für Sportmedizin,0344-5925,1677-09-22,2019-02-05,Still in DOAJ index,DOAJ,https://www.germanjournalsportsmedicine.com,interesting reason
2415,dev sanskriti: interdisciplinary international journal,True,Dev Sanskriti: Interdisciplinary International Journal,2456-7345,1677-09-22,2021-10-28,Still in DOAJ index,DOAJ,http://dsiij.dsvv.ac.in/index.php/dsiij,interesting reason
2416,development engineering,True,Development Engineering,2352-7285,1677-09-22,2017-09-18,Still in DOAJ index,DOAJ,https://www.journals.elsevier.com/development-engineering/,interesting reason
2417,development strategies in medical education,True,Development Strategies in Medical Education,2383-2185,1677-09-22,2017-12-25,Still in DOAJ index,DOAJ,http://dsme.hums.ac.ir/index.php?&slct_pg_id=10&sid=1&slc_lang=en,interesting reason
2418,development studies research,True,Development Studies Research,2166-5095,1677-09-22,2018-07-30,Still in DOAJ index,DOAJ,https://www.tandfonline.com/toc/rdsr20/current,interesting reason
2419,developmental cognitive neuroscience,True,Developmental Cognitive Neuroscience,1878-9293,1677-09-22,2015-02-24,Still in DOAJ index,DOAJ,http://www.journals.elsevier.com/developmental-cognitive-neuroscience/,interesting reason
2420,developments in health sciences,True,Developments in Health Sciences,2630-936X,1677-09-22,2021-05-10,Still in DOAJ index,DOAJ,https://akjournals.com/view/journals/2066/2066-overview.xml,interesting reason
2421,developments in the built environment,True,Developments in the Built Environment,2666-1659,1677-09-22,2020-09-23,Still in DOAJ index,DOAJ,https://www.journals.elsevier.com/developments-in-the-built-environment/,interesting reason
2422,devenir,True,Devenir,2312-7562,1677-09-22,2020-08-10,Still in DOAJ index,DOAJ,http://www.revistas.uni.edu.pe/index.php/devenir,interesting reason
2423,devir educação,True,Devir Educação,2526-849X,1677-09-22,2019-04-04,Still in DOAJ index,DOAJ,http://devireducacao.ded.ufla.br,interesting reason
2424,dewa ruci: jurnal pengkajian dan penciptaan seni,True,Dewa Ruci: Jurnal Pengkajian dan Penciptaan Seni,2685-287X,1677-09-22,2021-08-31,Still in DOAJ index,DOAJ,https://jurnal.isi-ska.ac.id/index.php/dewaruci/index,interesting reason
2425,değerler eğitimi dergisi,True,Değerler Eğitimi Dergisi,1303-880X,1677-09-22,2019-08-16,Still in DOAJ index,DOAJ,https://dergipark.org.tr/ded,interesting reason
2426,dharma raflesia,True,Dharma Raflesia,2615-4544,1677-09-22,2020-07-14,Still in DOAJ index,DOAJ,https://ejournal.unib.ac.id/index.php/dharmaraflesia/index,interesting reason
2427,dharmasmrti,True,Dharmasmrti,1693-0304,1677-09-22,2019-09-27,Still in DOAJ index,DOAJ,https://ejournal.unhi.ac.id/index.php/dharmasmrti,interesting reason
2428,di-san junyi daxue xuebao,True,Di-san junyi daxue xuebao,1000-5404,1677-09-22,2021-03-31,Still in DOAJ index,DOAJ,https://aammt.tmmu.edu.cn/,interesting reason
2429,di@logus,True,Di@logus,2316-4034,1677-09-22,2018-09-12,Still in DOAJ index,DOAJ,http://revistaeletronica.unicruz.edu.br/index.php/Revista/index,interesting reason
2430,diabetes & metabolism journal,True,Diabetes & Metabolism Journal,2233-6079,1677-09-22,2016-03-07,Still in DOAJ index,DOAJ,http://e-dmj.org/,interesting reason
2431,diabetes epidemiology and management,True,Diabetes Epidemiology and Management,2666-9706,1677-09-22,2021-12-02,Still in DOAJ index,DOAJ,https://www.journals.elsevier.com/diabetes-epidemiology-and-management,interesting reason
2432,diaconia,True,Diaconia,1869-3261,1677-09-22,2020-06-23,Still in DOAJ index,DOAJ,https://www.vr-elibrary.de/journal/diac,interesting reason
2433,diacovensia,True,Diacovensia,1330-2655,1677-09-22,2018-02-01,Still in DOAJ index,DOAJ,https://hrcak.srce.hr/diacovensia,interesting reason
2434,diacronia,True,Diacronia,2393-1140,1677-09-22,2016-04-04,Still in DOAJ index,DOAJ,http://www.diacronia.ro/en/,interesting reason
2435,diacrítica,True,Diacrítica,0870-8967,1677-09-22,2020-04-15,Still in DOAJ index,DOAJ,http://diacritica.ilch.uminho.pt/index.php/dia,interesting reason
2436,diagnostic and prognostic research,True,Diagnostic and Prognostic Research,2397-7523,1677-09-22,2018-03-05,Still in DOAJ index,DOAJ,https://diagnprognres.biomedcentral.com/,interesting reason
2437,diagnostic pathology,True,Diagnostic Pathology,2364-4893,1677-09-22,2018-06-12,Still in DOAJ index,DOAJ,http://www.diagnosticpathology.org/,interesting reason
2438,diagonal: an ibero-american music review,True,Diagonal: An Ibero-American Music Review,2470-4199,1677-09-22,2017-11-07,Still in DOAJ index,DOAJ,http://escholarship.org/uc/diagonal,interesting reason
2439,diakrisis,True,Diakrisis,2601-7415,1677-09-22,2018-11-19,Still in DOAJ index,DOAJ,https://diakrisis.reviste.ubbcluj.ro,interesting reason
2440,diakronika,True,Diakronika,2620-9446,1677-09-22,2020-04-02,Still in DOAJ index,DOAJ,http://diakronika.ppj.unp.ac.id/index.php/diakronika,interesting reason
2441,"dialektika: jurnal bahasa, sastra, dan pendidikan bahasa dan sastra indonesia",True,"Dialektika: Jurnal Bahasa, Sastra, dan Pendidikan Bahasa dan Sastra Indonesia",2407-506X,1677-09-22,2016-12-28,Still in DOAJ index,DOAJ,http://journal.uinjkt.ac.id/index.php/dialektika/index,interesting reason
2442,dialogia,True,Dialogia,1677-1303,1677-09-22,2016-02-08,Still in DOAJ index,DOAJ,http://www4.uninove.br/ojs/index.php/dialogia,interesting reason
2443,dialogic pedagogy,True,Dialogic Pedagogy,2325-3290,1677-09-22,2016-02-05,Still in DOAJ index,DOAJ,https://dpj.pitt.edu,interesting reason
2444,dialogue and discourse,True,Dialogue and Discourse,2152-9620,1677-09-22,2017-01-09,Still in DOAJ index,DOAJ,http://dialogue-and-discourse.org/,interesting reason
2445,dialogues in clinical neuroscience & mental health,True,Dialogues in Clinical Neuroscience & Mental Health,2585-2795,1677-09-22,2019-09-03,Still in DOAJ index,DOAJ,http://www.obrela-journal.gr,interesting reason
2446,dialogues: an interdisciplinary journal of english language teaching and research,True,Dialogues: An Interdisciplinary Journal of English Language Teaching and Research,2572-1941,1677-09-22,2017-11-26,Still in DOAJ index,DOAJ,http://go.ncsu.edu/dialogues,interesting reason
2447,diametros,True,Diametros,1733-5566,1677-09-22,2017-02-17,Still in DOAJ index,DOAJ,http://www.diametros.iphils.uj.edu.pl/index.php/diametros,interesting reason
2448,dianoia,True,Dianoia,2476-1826,1677-09-22,2020-06-04,Still in DOAJ index,DOAJ,https://ejournals.bc.edu/index.php/dianoia/index,interesting reason
2449,dianzi jishu yingyong,True,Dianzi Jishu Yingyong,0258-7998,1677-09-22,2018-12-13,Still in DOAJ index,DOAJ,http://journal.chinaaet.com/en,interesting reason
2450,diciottesimo secolo,True,Diciottesimo Secolo,2531-4165,1677-09-22,2018-06-12,Still in DOAJ index,DOAJ,https://oajournals.fupress.net/index.php/ds/index,interesting reason
2451,dictamen libre,True,Dictamen Libre,0124-0099,1677-09-22,2019-12-11,Still in DOAJ index,DOAJ,https://revistas.unilibre.edu.co/index.php/dictamenlibre,interesting reason
2452,didacticae,True,Didacticae,2462-2737,1677-09-22,2018-07-30,Still in DOAJ index,DOAJ,http://revistes.ub.edu/index.php/didacticae/,interesting reason
2453,didaktika: jurnal kependidikan,True,Didaktika: Jurnal Kependidikan,2745-4312,1677-09-22,2021-08-24,Still in DOAJ index,DOAJ,https://jurnaldidaktika.org/contents/,interesting reason
2454,didasc@lia: didáctica y educación,True,Didasc@lia: didáctica y educación,2224-2643,1677-09-22,2021-09-22,Still in DOAJ index,DOAJ,http://revistas.ult.edu.cu/index.php/didascalia,interesting reason
2455,didattica della matematica,True,Didattica della Matematica,2504-5210,1677-09-22,2019-06-11,Still in DOAJ index,DOAJ,https://www.journals-dfa.supsi.ch/index.php/rivistaddm?lang=en,interesting reason
2456,didattica della storia,True,Didattica della storia,2704-8217,1677-09-22,2020-11-09,Still in DOAJ index,DOAJ,https://dsrivista.unibo.it/,interesting reason
2457,didáctica de las ciencias experimentales y sociales,True,Didáctica de las Ciencias Experimentales y Sociales,0214-4379,1677-09-22,2019-02-08,Still in DOAJ index,DOAJ,https://ojs.uv.es/index.php/dces,interesting reason
2458,didáskomai,True,Didáskomai,1688-7794,1677-09-22,2018-01-09,Still in DOAJ index,DOAJ,http://didaskomai.fhuce.edu.uy/,interesting reason
2459,die bodenkultur,True,Die Bodenkultur,0006-5471,1677-09-22,2019-03-28,Still in DOAJ index,DOAJ,https://sciendo.com/journal/BOKU,interesting reason
2460,die erde: journal of the geographical society of berlin,True,DIE ERDE: Journal of the Geographical Society of Berlin,0013-9998,1677-09-22,2014-09-29,Still in DOAJ index,DOAJ,http://www.die-erde.org,interesting reason
2461,diem,True,DIEM,1849-3645,1677-09-22,2017-04-15,Still in DOAJ index,DOAJ,http://www.diem-dubrovnik.com/diem/index.php/diem/index/pages/view/proceedings,interesting reason
2462,diferencia(s),True,Diferencia(s),2469-1100,1677-09-22,2020-01-27,Still in DOAJ index,DOAJ,http://www.revista.diferencias.com.ar/index.php/diferencias,interesting reason
2463,diferents,True,Diferents,2530-1330,1677-09-22,2021-01-20,Still in DOAJ index,DOAJ,https://www.e-revistes.uji.es/index.php/diferents/index,interesting reason
2464,differenz,True,Differenz,2386-4877,1677-09-22,2021-03-29,Still in DOAJ index,DOAJ,https://revistascientificas.us.es/index.php/Differenz/index,interesting reason
2465,digest journal of nanomaterials and biostructures,True,Digest Journal of Nanomaterials and Biostructures,1842-3582,1677-09-22,2020-09-23,Still in DOAJ index,DOAJ,http://www.chalcogen.ro/index.php/journals/digest-journal-of-nanomaterials-and-biostructures,interesting reason
2466,digital biomarkers,True,Digital Biomarkers,2504-110X,1677-09-22,2019-12-10,Still in DOAJ index,DOAJ,https://www.karger.com/Journal/Home/271954,interesting reason
2467,digital business,True,Digital Business,2666-9544,1677-09-22,2021-08-31,Still in DOAJ index,DOAJ,https://www.journals.elsevier.com/digital-business,interesting reason
2468,digital chemical engineering,True,Digital Chemical Engineering,2772-5081,1677-09-22,2022-03-10,Still in DOAJ index,DOAJ,https://www.journals.elsevier.com/digital-chemical-engineering,interesting reason
2469,digital chinese medicine,True,Digital Chinese Medicine,2589-3777,1677-09-22,2020-01-24,Still in DOAJ index,DOAJ,http://www.keaipublishing.com/en/journals/digital-chinese-medicine/,interesting reason
2470,digital classics online,True,Digital Classics Online,2364-7957,1677-09-22,2018-03-22,Still in DOAJ index,DOAJ,http://digital-classics-online.eu,interesting reason
2471,digital communications and networks,True,Digital Communications and Networks,2352-8648,1677-09-22,2016-11-30,Still in DOAJ index,DOAJ,http://www.keaipublishing.com/en/journals/digital-communications-and-networks/,interesting reason
2472,digital diagnostics,True,Digital Diagnostics,2712-8490,1677-09-22,2021-07-07,Still in DOAJ index,DOAJ,https://journals.eco-vector.com/DD/,interesting reason
2473,digital geography and society,True,Digital Geography and Society,2666-3783,1677-09-22,2021-08-18,Still in DOAJ index,DOAJ,https://www.journals.elsevier.com/digital-geography-and-society,interesting reason
2474,digital health,True,Digital Health,2055-2076,1677-09-22,2017-01-04,Still in DOAJ index,DOAJ,https://journals.sagepub.com/home/dhj,interesting reason
2475,digital medievalist,True,Digital Medievalist,1715-0736,1677-09-22,2018-11-06,Still in DOAJ index,DOAJ,https://journal.digitalmedievalist.org/,interesting reason
2476,digital press social sciences and humanities,True,Digital Press Social Sciences and Humanities,2654-9433,1677-09-22,2021-05-03,Still in DOAJ index,DOAJ,https://digitalpress.ugm.ac.id/explore/social-sciences-and-humanities,interesting reason
2477,digital studies,True,Digital Studies,1918-3666,1677-09-22,2018-10-23,Still in DOAJ index,DOAJ,https://www.digitalstudies.org/,interesting reason
2478,digitcult@scientific journal on digital cultures,True,DigitCult@Scientific Journal on Digital Cultures,2531-5994,1677-09-22,2018-03-14,Still in DOAJ index,DOAJ,http://www.digitcult.it,interesting reason
2479,digitális bölcsészet,True,Digitális Bölcsészet,2630-9696,1677-09-22,2022-02-24,Still in DOAJ index,DOAJ,http://ojs.elte.hu/digitalisbolcseszet,interesting reason
2480,diglosia,True,Diglosia,2615-8655,1677-09-22,2020-06-11,Still in DOAJ index,DOAJ,http://diglosiaunmul.com/index.php/diglosia,interesting reason
2481,dih,True,DiH,2654-525X,1677-09-22,2020-03-26,Still in DOAJ index,DOAJ,http://jurnal.untag-sby.ac.id/index.php/dih,interesting reason
2482,dikê,True,Dikê,2594-0708,1677-09-22,2019-02-07,Still in DOAJ index,DOAJ,http://www.apps.buap.mx/ojs3/index.php/dike/index,interesting reason
2483,dilbilim araştırmaları dergisi,True,Dilbilim Araştırmaları Dergisi,1300-8552,1677-09-22,2018-12-04,Still in DOAJ index,DOAJ,http://dad.boun.edu.tr,interesting reason
2484,dilemas: revista de estudos de conflito e controle social,True,Dilemas: Revista de Estudos de Conflito e Controle Social,1983-5922,1677-09-22,2017-08-16,Still in DOAJ index,DOAJ,https://revistas.ufrj.br/index.php/dilemas/index,interesting reason
2485,diligentia: journal of theology and christian education,True,Diligentia: Journal of Theology and Christian Education,2686-3707,1677-09-22,2021-06-04,Still in DOAJ index,DOAJ,https://ojs.uph.edu/index.php/DIL/index,interesting reason
2486,dimensión empresarial,True,Dimensión Empresarial,1692-8563,1677-09-22,2017-01-31,Still in DOAJ index,DOAJ,http://ojs.uac.edu.co/index.php/dimension-empresarial,interesting reason
2487,din,True,DIN,1501-9934,1677-09-22,2018-07-18,Still in DOAJ index,DOAJ,http://ojs.novus.no/index.php/DIN,interesting reason
2488,dinamika global,True,Dinamika Global,2684-9399,1677-09-22,2021-10-08,Still in DOAJ index,DOAJ,http://ejournal.fisip.unjani.ac.id/index.php/jurnal-dinamika-global,interesting reason
2489,dinamika ilmu,True,Dinamika Ilmu,1411-3031,1677-09-22,2015-12-09,Still in DOAJ index,DOAJ,https://journal.uinsi.ac.id/index.php/dinamika_ilmu/index,interesting reason
2490,dinamika kerajinan dan batik: majalah ilmiah,True,Dinamika Kerajinan dan Batik: Majalah Ilmiah,2087-4294,1677-09-22,2017-08-03,Still in DOAJ index,DOAJ,http://ejournal.kemenperin.go.id/dkb,interesting reason
2491,dinamika pendidikan,True,Dinamika Pendidikan,1907-3720,1677-09-22,2015-11-04,Still in DOAJ index,DOAJ,http://journal.unnes.ac.id/nju/index.php/DP,interesting reason
2492,dinamika rekayasa,True,Dinamika Rekayasa,1858-3075,1677-09-22,2017-05-11,Still in DOAJ index,DOAJ,http://dinarek.unsoed.ac.id/jurnal,interesting reason
2493,dinamisia,True,Dinamisia,2614-7424,1677-09-22,2019-04-01,Still in DOAJ index,DOAJ,https://journal.unilak.ac.id/index.php/dinamisia/index,interesting reason
2494,dini araştırmalar,True,Dini Araştırmalar,1301-966X,1677-09-22,2018-03-05,Still in DOAJ index,DOAJ,http://dergipark.gov.tr/da,interesting reason
2495,dios y el hombre,True,Dios y el Hombre,2618-2858,1677-09-22,2019-05-10,Still in DOAJ index,DOAJ,https://revistas.unlp.edu.ar/DyH/index,interesting reason
2496,dirasat: jurnal manajemen dan pendidikan islam,True,Dirasat: Jurnal Manajemen dan Pendidikan Islam,2503-3506,1677-09-22,2017-08-14,Still in DOAJ index,DOAJ,http://journal.unipdu.ac.id/index.php/dirasat/index,interesting reason
2497,direito e desenvolvimento,True,Direito e Desenvolvimento,2177-0026,1677-09-22,2018-08-16,Still in DOAJ index,DOAJ,https://periodicos.unipe.br/index.php/direitoedesenvolvimento,interesting reason
2498,"direito, estado e sociedade",True,"Direito, Estado e Sociedade",1982-0879,1677-09-22,2017-09-25,Still in DOAJ index,DOAJ,http://www.jur.puc-rio.br/revistades/,interesting reason
2499,diritto e politica dei trasporti,True,Diritto e Politica dei Trasporti,2612-5056,1677-09-22,2021-12-15,Still in DOAJ index,DOAJ,http://www.dirittoepoliticadeitrasporti.it/,interesting reason
2500,diritto penale contemporaneo - rivista trimestrale,True,Diritto Penale Contemporaneo - Rivista Trimestrale,2240-7618,1677-09-22,2017-05-24,Still in DOAJ index,DOAJ,https://dpc-rivista-trimestrale.criminaljusticenetwork.eu/,interesting reason
2501,diritto penale e uomo,True,Diritto penale e uomo,2704-6516,1677-09-22,2020-07-20,Still in DOAJ index,DOAJ,https://dirittopenaleuomo.org/,interesting reason
2502,dirosat: journal of islamic studies,True,Dirosat: Journal of Islamic Studies,2541-1667,1677-09-22,2017-08-23,Still in DOAJ index,DOAJ,http://ejournal.idia.ac.id/index.php/dirosat/index,interesting reason
2503,disability and the global south,True,Disability and the Global South,2050-7364,1677-09-22,2019-11-18,Still in DOAJ index,DOAJ,http://www.dgsjournal.org,interesting reason
2504,disability studies quarterly,True,Disability Studies Quarterly,2159-8371,1677-09-22,2017-07-26,Still in DOAJ index,DOAJ,http://dsq-sds.org,interesting reason
2505,discern,True,Discern,2184-6995,1677-09-22,2021-07-30,Still in DOAJ index,DOAJ,https://www.designforsocialchange.org/journal/index.php/DISCERN-J,interesting reason
2506,disciplinary and interdisciplinary science education research,True,Disciplinary and Interdisciplinary Science Education Research,2662-2300,1677-09-22,2020-05-18,Still in DOAJ index,DOAJ,https://diser.springeropen.com/,interesting reason
2507,disclosure: a journal of social theory,True,disClosure: A Journal of Social Theory,2332-9246,1677-09-22,2017-09-17,Still in DOAJ index,DOAJ,http://uknowledge.uky.edu/disclosure/,interesting reason
2508,"discobolul: physical education, sports and kinetotherapy journal",True,"Discobolul: Physical Education, Sports and Kinetotherapy Journal",1454-3907,1677-09-22,2017-01-25,Still in DOAJ index,DOAJ,https://discobolulunefs.ro/,interesting reason
2509,discourse and communication for sustainable education,True,Discourse and Communication for Sustainable Education,2255-7547,1677-09-22,2016-06-12,Still in DOAJ index,DOAJ,https://sciendo.com/journal/DCSE,interesting reason
2510,discourse and writing/rédactologie,True,Discourse and Writing/Rédactologie,2563-7320,1677-09-22,2021-03-25,Still in DOAJ index,DOAJ,https://journals.sfu.ca/dwr/index.php/dwr,interesting reason
2511,discover artificial intelligence,True,Discover Artificial Intelligence,2731-0809,1677-09-22,2021-11-17,Still in DOAJ index,DOAJ,https://www.springer.com/journal/44163,interesting reason
